LHLHLLLHLLLLHLHLHLHHHHHLHLHLLHLLHHHLHLLLLLHHLLHHHHLLHLHLLLHLLHLL
W_LIST: -0.350128 0.180269 -0.241965 0.473753 -0.0387422 0.501679 -0.219096 0.505221 -0.0258215 -0.422934 -0.0590293 0.561738 0.6143 -0.0385398 0.0167007 0.385879 0.0815346 0.292121 0.146564 -0.173211 0.574115 -0.510437 0.585316 -0.319265 0.633415 -0.140606 -0.138216 -0.461965 -0.534581 -0.218485 0.230473 0.617644 -0.354627 0.612983 0.600591 0.256027 -0.0858862 -0.0482082 -0.591351 0.203521 0.527678 -0.128922 0.614557 0.609285 -0.493736 -0.263294 -0.373809 0.344998 0.184238 -0.234051 0.373695 0.527844 0.489817 -0.269088 0.122322 0.194913 -0.378783 -0.48237 -0.028617 -0.466014 0.635462 -0.419818 -0.383035 -0.23019 
st	op	ed	phy
SITE: 21	22	24	0
SITE: 31	33	34	0
SITE: 40	42	43	0
SITE: 43	44	46	0
SITE: 43	46	47	1
SITE: 39	40	43	1
SITE: 38	41	43	0
SITE: 57	59	60	0
SITE: 57	60	61	1
SITE: 58	61	63	1
SITE: 32	34	36	0
SITE: 57	62	63	0
SITE: 26	28	29	0
SITE: 50	51	53	1
SITE: 35	36	38	1
SITE: 10	12	13	0
SITE: 5	7	8	0
SITE: 17	19	20	1
SITE: 11	13	15	1
SITE: 10	11	15	1
SITE: 9	10	15	0
SITE: 15	17	18	1
SITE: 14	15	18	1
SITE: 9	14	18	1
SITE: 8	16	18	1
SITE: 6	8	18	1
SITE: 5	9	18	0
SITE: 4	6	18	1
SITE: 3	5	18	0
SITE: 2	3	18	0
SITE: 24	26	27	1
SITE: 56	58	63	0
SITE: 1	2	18	0
SITE: 0	1	18	0
SITE: 37	38	43	0
SITE: 29	31	32	1
SITE: 29	32	35	1
SITE: 4	18	21	1
SITE: 49	50	53	0
SITE: 52	53	55	0
SITE: 43	47	48	0
SITE: 43	48	49	0
SITE: 43	49	52	0
SITE: 43	52	54	1
SITE: 43	54	55	0
SITE: 20	21	24	1
SITE: 24	25	29	0
SITE: 24	29	30	0
SITE: 24	30	35	1
SITE: 35	39	43	1
SITE: 43	55	56	1
SITE: 43	56	57	0
SITE: 43	57	63	1
SITE: 37	43	63	0
SITE: 4	23	24	0
SITE: 0	4	24	1
SITE: 24	35	37	1
SITE: 20	24	37	0
SITE: 27	37	63	1
SITE: 20	45	63	0
SITE: 0	63	63	1
SITE: 0	20	27	0
SITE: 0	0	27	0
SITE: 27	27	27	0
MPS Info: 0.0429869 2.83765 0.953979 
Writing MPS done!
