HLLHLHLLHLLLHHHHHLHLHLHLHHLHHHLLHHHLLLLHHHLHHHLHHHLHLHLLHLLHLHHH
W_LIST: 1.2796 -1.11383 -0.0363155 0.576385 0.15102 -1.18675 -0.310247 0.576897 1.04405 -1.14717 0.656281 0.089018 0.851516 -0.819799 0.167313 -0.76272 -0.0789254 1.24156 -0.930483 -0.432414 1.01679 0.633795 0.637612 -1.1999 -0.745642 0.37925 -0.411406 -0.500433 0.161072 -0.772627 0.42411 -0.133535 1.22768 -0.710882 1.22794 0.960333 0.0434614 0.816501 -1.16874 0.517259 -0.201961 -0.780171 -1.0577 -0.842304 0.434058 0.228122 0.458698 -0.582167 0.603141 -0.495565 1.32145 -0.741996 -1.28561 -0.972852 -0.793016 0.345007 1.1094 -0.71933 0.0907298 0.971699 -0.609336 0.54463 -0.910253 -0.473122 
st	op	ed	phy
SITE: 50	52	53	0
SITE: 32	34	35	0
SITE: 35	37	38	1
SITE: 35	38	39	0
SITE: 20	22	23	0
SITE: 9	10	12	1
SITE: 8	9	12	0
SITE: 5	7	8	1
SITE: 59	60	62	0
SITE: 58	59	62	0
SITE: 56	57	61	0
SITE: 56	61	62	0
SITE: 54	56	58	0
SITE: 39	41	42	1
SITE: 39	42	43	0
SITE: 35	39	40	0
SITE: 29	30	32	1
SITE: 28	29	32	1
SITE: 31	32	35	0
SITE: 47	48	50	0
SITE: 12	13	15	1
SITE: 5	8	11	0
SITE: 15	17	18	1
SITE: 18	20	21	0
SITE: 18	21	23	1
SITE: 14	15	18	1
SITE: 16	18	23	1
SITE: 0	1	3	0
SITE: 0	0	4	0
SITE: 2	2	5	1
SITE: 50	53	54	1
SITE: 50	54	55	0
SITE: 50	55	58	1
SITE: 49	50	58	1
SITE: 4	5	11	1
SITE: 23	24	26	1
SITE: 51	58	63	1
SITE: 14	16	23	1
SITE: 12	19	23	0
SITE: 43	44	46	0
SITE: 11	12	23	0
SITE: 23	26	27	0
SITE: 6	11	23	0
SITE: 4	6	23	0
SITE: 23	25	28	0
SITE: 4	23	27	0
SITE: 33	35	40	1
SITE: 49	51	63	0
SITE: 40	45	46	0
SITE: 36	40	46	1
SITE: 33	36	46	0
SITE: 47	49	63	1
SITE: 46	47	63	1
SITE: 43	46	63	1
SITE: 4	27	28	1
SITE: 33	43	63	0
SITE: 31	33	63	0
SITE: 28	31	63	1
SITE: 14	28	63	1
SITE: 4	14	63	1
SITE: 3	63	63	1
SITE: 3	4	62	0
SITE: 3	62	62	1
SITE: 3	3	3	0
MPS Info: 1.19863 1.67285 0.334544 
Writing MPS done!
