LHHLLHHLLHHHHLLLLHLLLLHLHLHLLLHLLLLLLLHLHHLLHHHHHHLLHLHHHLHLLHHL
W_LIST: -0.658698 -0.689827 -0.427294 -0.983549 -1.27411 1.07606 0.161348 1.03039 0.357541 -0.0259477 -0.667697 -0.482128 -1.18129 -0.401159 -0.726545 -0.0302298 0.944948 -1.03648 -0.989244 0.910511 1.09584 0.923722 0.193036 0.205325 0.599628 1.09676 0.345604 -0.675073 -0.537475 -0.312329 -0.508013 0.37108 -0.55003 0.727964 -1.1692 0.914262 -0.828943 1.11957 -0.499618 -0.634457 -0.170246 0.53645 0.987805 -0.561219 -0.713076 0.209369 0.320658 -0.54364 -0.414326 0.745618 -0.499697 0.0719788 0.269227 -0.525334 -0.206624 0.16734 -1.17469 0.843239 1.23471 1.32613 0.183934 1.32889 1.00935 -1.08175 
st	op	ed	phy
SITE: 58	59	61	1
SITE: 4	5	7	0
SITE: 34	35	37	1
SITE: 33	34	37	0
SITE: 60	61	63	0
SITE: 33	36	38	0
SITE: 31	33	37	1
SITE: 30	32	37	0
SITE: 31	37	39	1
SITE: 18	20	21	1
SITE: 16	18	19	0
SITE: 1	3	4	0
SITE: 11	12	14	1
SITE: 31	38	40	1
SITE: 10	13	14	0
SITE: 58	62	63	0
SITE: 54	56	57	1
SITE: 7	8	10	1
SITE: 24	25	27	1
SITE: 28	30	31	1
SITE: 7	10	11	1
SITE: 41	42	44	1
SITE: 7	11	14	1
SITE: 39	40	43	1
SITE: 39	43	44	0
SITE: 28	29	39	0
SITE: 47	49	50	0
SITE: 15	16	19	1
SITE: 15	17	21	1
SITE: 15	19	22	1
SITE: 27	31	39	1
SITE: 7	9	15	1
SITE: 7	15	21	0
SITE: 0	1	4	1
SITE: 26	27	39	0
SITE: 24	26	39	0
SITE: 24	39	41	0
SITE: 21	22	24	1
SITE: 45	47	48	1
SITE: 53	55	57	1
SITE: 53	54	58	1
SITE: 52	53	58	0
SITE: 51	52	58	0
SITE: 57	58	63	0
SITE: 2	4	7	0
SITE: 0	0	7	0
SITE: 51	57	63	1
SITE: 6	7	21	1
SITE: 21	24	28	1
SITE: 50	60	63	0
SITE: 41	45	46	0
SITE: 48	51	63	1
SITE: 46	48	63	1
SITE: 21	23	41	0
SITE: 28	41	46	1
SITE: 44	50	63	0
SITE: 28	44	63	0
SITE: 21	28	63	1
SITE: 14	46	63	0
SITE: 6	21	63	1
SITE: 2	63	63	0
SITE: 2	6	14	1
SITE: 2	2	14	1
SITE: 14	14	14	1
MPS Info: -5.061 1.9186 0.461025 
Writing MPS done!
