LLLHLHHHHLHLLHHLLHHHHLLLHLHHHLLHLHHHLHLHLLLLLHHLHLLLHLLLHLLLHHLH
W_LIST: -0.792889 -1.51818 -0.495683 -0.777161 -0.676639 -0.276323 -1.0824 -0.36627 -0.958147 0.483293 -1.17582 -1.60906 -1.32411 -0.702575 -1.38123 -0.541867 -1.65342 1.01215 -0.37636 -1.39753 -0.330378 -0.948713 1.28532 -0.874094 -1.33396 -1.08984 0.820849 0.977099 -0.333975 -0.309974 -1.24093 -0.0820054 -0.583785 -1.06799 0.375754 -0.270311 0.216078 0.496665 -0.191706 0.216239 -0.982327 1.16646 -0.583502 -0.156925 0.945903 -0.936912 -0.589577 -1.45165 -1.00739 0.0302695 0.254527 -0.529047 1.54806 -0.645123 1.11933 -1.59183 1.59712 -1.13469 0.687589 -0.251204 -0.454784 1.35588 -0.948628 1.58425 
st	op	ed	phy
SITE: 54	56	57	0
SITE: 11	12	14	0
SITE: 14	16	17	0
SITE: 19	21	22	0
SITE: 22	24	25	1
SITE: 22	25	26	0
SITE: 19	22	23	1
SITE: 19	23	26	0
SITE: 60	61	63	0
SITE: 52	54	55	1
SITE: 52	55	57	0
SITE: 44	45	47	1
SITE: 1	3	4	1
SITE: 0	1	4	0
SITE: 30	32	33	0
SITE: 10	11	14	0
SITE: 52	57	58	0
SITE: 51	52	58	0
SITE: 14	17	18	0
SITE: 27	28	30	1
SITE: 46	47	49	0
SITE: 6	8	9	1
SITE: 26	29	30	0
SITE: 4	6	7	1
SITE: 26	30	31	0
SITE: 20	26	31	0
SITE: 19	27	31	0
SITE: 14	15	19	1
SITE: 14	19	20	1
SITE: 14	18	31	1
SITE: 14	31	33	0
SITE: 40	41	43	1
SITE: 38	40	42	0
SITE: 37	39	42	0
SITE: 9	10	14	1
SITE: 7	13	14	1
SITE: 5	7	14	1
SITE: 4	5	14	1
SITE: 2	4	14	0
SITE: 14	33	34	1
SITE: 14	34	35	0
SITE: 14	35	36	1
SITE: 14	20	37	0
SITE: 14	37	38	0
SITE: 14	36	42	1
SITE: 14	42	43	0
SITE: 14	43	44	1
SITE: 59	62	63	0
SITE: 58	59	63	0
SITE: 53	58	63	1
SITE: 51	53	63	0
SITE: 50	51	63	0
SITE: 49	50	63	1
SITE: 48	60	63	0
SITE: 46	48	63	1
SITE: 0	0	14	0
SITE: 9	14	44	1
SITE: 44	49	63	0
SITE: 38	44	63	0
SITE: 9	38	63	0
SITE: 2	63	63	0
SITE: 2	9	46	0
SITE: 2	2	46	1
SITE: 46	46	46	1
MPS Info: -2.30152 2.49622 0.471858 
Writing MPS done!
