LHHLLHHHHHLHHLLLHHHLHLHHLLHLLLLLHHHHHHHLLHLLLLLHLHLLHLHLLLLLLHLL
W_LIST: -1.45618 1.58851 0.967057 1.15524 1.20148 -0.481509 -0.027687 -1.07011 0.806443 1.46179 -0.074038 1.05734 0.231037 -0.168185 -0.711316 -0.965035 0.18172 -0.99028 -1.28137 1.59942 1.43053 -1.63499 -0.112175 0.165107 -0.899463 0.731508 -1.38193 1.43326 -1.22566 -0.326046 1.34196 1.16577 0.316079 0.844128 -1.55234 -1.61185 1.59246 0.732622 0.813326 -0.499365 -1.09275 1.41347 -0.462438 1.33369 -0.593853 1.4537 -0.313057 -1.55338 0.485649 -1.10174 1.24986 0.132708 1.26915 0.303401 0.207855 -0.53589 -0.262131 -0.422816 -0.568498 -0.477874 1.16145 1.37607 1.57717 -0.324466 
st	op	ed	phy
SITE: 18	19	21	1
SITE: 33	35	36	1
SITE: 0	1	3	0
SITE: 25	27	28	1
SITE: 24	26	28	1
SITE: 31	33	34	0
SITE: 28	30	31	1
SITE: 47	49	50	1
SITE: 17	18	21	1
SITE: 40	41	43	0
SITE: 59	61	62	0
SITE: 58	60	62	1
SITE: 57	59	62	0
SITE: 0	2	4	0
SITE: 28	31	32	1
SITE: 43	45	46	1
SITE: 43	44	47	0
SITE: 43	47	48	1
SITE: 8	9	11	0
SITE: 34	36	38	0
SITE: 28	29	34	0
SITE: 28	34	37	1
SITE: 28	37	38	0
SITE: 4	5	7	1
SITE: 15	17	20	1
SITE: 3	4	7	1
SITE: 40	43	46	1
SITE: 7	8	11	0
SITE: 56	57	62	0
SITE: 55	58	62	1
SITE: 54	55	62	0
SITE: 53	54	62	0
SITE: 52	53	62	1
SITE: 51	52	62	0
SITE: 50	56	62	1
SITE: 50	62	63	1
SITE: 21	23	24	0
SITE: 15	20	21	0
SITE: 7	11	12	0
SITE: 25	28	38	0
SITE: 12	14	15	0
SITE: 0	3	7	1
SITE: 39	42	46	0
SITE: 7	10	13	1
SITE: 7	13	15	1
SITE: 38	40	46	0
SITE: 32	38	46	0
SITE: 39	46	50	0
SITE: 6	7	15	1
SITE: 48	50	63	1
SITE: 21	24	25	0
SITE: 21	25	32	1
SITE: 12	15	21	0
SITE: 6	12	21	1
SITE: 21	32	39	1
SITE: 0	0	21	0
SITE: 16	21	39	0
SITE: 6	22	39	0
SITE: 39	51	63	0
SITE: 16	39	63	1
SITE: 6	63	63	0
SITE: 6	6	48	1
SITE: 16	16	48	0
WARN: Unitary gate is identity
SITE: 48	48	48	1
MPS Info: -0.516356 1.63842 0.993879 
Writing MPS done!
