HLLHLHLHLLLHLHLHLLLHHHHHHHHLHLHLHLHLHLHLHHHLHLLLLLLLLLLHLLHHLHLH
W_LIST: 1.35463 -1.79369 -5.01894 -5.55688 7.22309 -3.67203 6.0909 1.38824 -4.77467 3.76764 -5.28974 1.74015 0.360267 -5.94929 -6.47296 -9.90469 9.47691 4.53081 -2.02624 0.61903 -2.31444 5.8231 9.56617 -1.93776 -8.0985 -0.417032 0.0220752 8.42054 0.85296 3.51766 -9.10723 -9.83625 5.5921 -3.24372 8.45827 4.01511 4.87954 3.5672 -5.71721 -3.06489 -4.22952 8.89992 8.09596 -5.73447 1.31189 5.34195 -8.44009 -7.08472 -5.53216 7.81932 9.00212 8.02018 -9.77825 -0.267079 4.33809 5.68478 6.26133 -7.78927 -7.82227 -4.78502 6.73428 6.76974 -4.4963 -4.32386 
st	op	ed	phy
SITE: 49	50	52	1
SITE: 13	15	16	1
SITE: 48	51	52	1
SITE: 47	49	52	1
SITE: 46	47	52	0
SITE: 45	46	52	0
SITE: 29	31	32	0
SITE: 55	57	58	0
SITE: 40	41	43	0
SITE: 30	32	34	0
SITE: 13	16	17	1
SITE: 56	58	60	1
SITE: 56	60	61	1
SITE: 21	22	24	0
SITE: 55	56	61	1
SITE: 30	34	35	0
SITE: 44	45	52	1
SITE: 3	4	6	1
SITE: 43	48	52	0
SITE: 42	43	52	0
SITE: 40	42	52	0
SITE: 55	61	62	0
SITE: 2	3	6	1
SITE: 27	29	30	1
SITE: 30	35	36	1
SITE: 27	30	33	1
SITE: 52	54	55	1
SITE: 52	55	59	0
SITE: 52	59	62	1
SITE: 52	62	63	0
SITE: 13	14	18	0
SITE: 39	40	52	1
SITE: 38	39	52	0
SITE: 37	38	52	1
SITE: 36	37	52	1
SITE: 33	36	52	0
SITE: 20	21	24	0
SITE: 24	25	27	1
SITE: 23	24	27	1
SITE: 1	2	6	0
SITE: 5	6	8	1
SITE: 44	52	63	0
SITE: 8	10	11	0
SITE: 5	8	9	0
SITE: 5	9	11	1
SITE: 27	33	44	0
SITE: 20	23	27	1
SITE: 13	17	19	1
SITE: 19	20	27	1
SITE: 18	19	27	0
SITE: 13	18	27	0
SITE: 12	13	27	1
SITE: 11	26	27	1
SITE: 7	11	27	0
SITE: 5	7	27	0
SITE: 1	5	27	1
SITE: 0	1	27	0
SITE: 0	27	28	1
SITE: 28	44	63	0
SITE: 12	28	63	1
SITE: 0	63	63	1
SITE: 0	0	53	0
SITE: 12	12	53	1
WARN: Unitary gate is identity
SITE: 53	53	53	0
MPS Info: -20.0971 0.502033 0.00344777 
Writing MPS done!
