LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -9.75177 -5.44366 2.5496 2.93309 8.68303 3.84346 6.48388 -1.10068 4.81429 -3.01618 4.30716 -0.412497 -7.00819 -2.37239 -8.65563 7.26287 -2.68411 -2.20568 7.4717 -1.54326 -1.63901 -9.88156 -4.23233 2.79585 -2.96803 -1.55927 -8.05542 -8.52614 -5.11549 5.6323 -0.707735 -3.70658 4.94861 -8.22283 8.886 -2.74216 7.42564 0.702115 5.45436 -5.63252 -9.41309 8.33106 -4.42703 -2.42376 8.7834 -7.54555 6.74412 7.78992 6.68361 0.242287 -6.55793 1.33849 1.68823 -2.80708 9.34827 -9.46959 4.92768 -0.80218 3.77018 -6.30222 -4.66976 -1.98401 -5.36781 9.5669 
st	op	ed	phy
SITE: 44	45	47	0
SITE: 44	47	48	1
SITE: 38	40	41	1
SITE: 33	34	36	0
SITE: 26	27	29	1
SITE: 53	55	56	1
SITE: 12	14	15	1
SITE: 43	44	48	0
SITE: 38	41	42	1
SITE: 32	33	36	1
SITE: 3	4	6	1
SITE: 60	62	63	1
SITE: 59	60	63	1
SITE: 58	59	63	0
SITE: 25	26	29	1
SITE: 18	20	21	1
SITE: 18	21	22	0
SITE: 0	0	3	0
SITE: 36	38	39	1
SITE: 39	42	46	0
SITE: 39	46	48	0
SITE: 15	16	18	0
SITE: 13	15	18	1
SITE: 12	13	18	0
SITE: 54	56	58	1
SITE: 31	32	36	1
SITE: 12	18	19	0
SITE: 57	58	63	0
SITE: 54	61	63	0
SITE: 53	54	63	1
SITE: 35	36	39	1
SITE: 28	29	31	0
SITE: 5	6	8	1
SITE: 52	53	63	1
SITE: 48	50	51	0
SITE: 39	48	49	0
SITE: 9	10	12	1
SITE: 8	9	12	0
SITE: 7	8	12	0
SITE: 31	35	39	0
SITE: 51	52	63	1
SITE: 23	24	28	1
SITE: 22	23	28	1
SITE: 12	17	22	1
SITE: 12	22	25	0
SITE: 12	25	28	0
SITE: 11	12	28	1
SITE: 49	51	63	0
SITE: 31	39	43	1
SITE: 1	1	5	1
SITE: 43	49	63	1
SITE: 37	43	63	0
SITE: 31	57	63	0
SITE: 30	31	63	0
SITE: 28	37	63	1
SITE: 19	28	63	0
SITE: 11	19	63	0
SITE: 7	11	63	0
SITE: 5	7	63	0
SITE: 3	5	63	1
SITE: 2	63	63	1
SITE: 2	3	30	0
WARN: Unitary gate is identity
SITE: 2	2	2	1
WARN: Unitary gate is identity
SITE: 30	30	30	1
MPS Info: -13.4213 0.522478 0.0241002 
Writing MPS done!
