HHLLHHLLLLHLHHHHHLHLHLHHHLLLLLHLHHLHLHLLLLLHLLLHHHHLLHLHLHLLHHLL
W_LIST: -7.44028 -3.33566 9.55508 -3.58771 -3.20018 -9.1553 -2.28468 8.3002 7.9814 6.84111 -9.32508 1.01529 -8.39767 -2.08624 -5.63024 -4.96373 -9.257 -1.9446 7.43153 -9.71625 -1.58497 4.86207 -4.53621 5.57454 7.04241 0.749347 -3.90162 7.71813 -5.59296 -8.59853 9.56422 -8.81621 0.0971339 -5.42116 -5.47979 6.31726 6.82933 -2.72709 9.54808 -8.23794 6.97222 -5.31445 -3.02887 5.04109 6.18112 -9.37655 -2.44114 4.17989 -6.73913 -4.36388 -7.80273 -7.19605 8.20555 6.58972 9.74908 1.31806 8.82099 9.35679 -0.902422 -2.4236 -9.58209 -5.08431 -2.23753 1.87816 
st	op	ed	phy
SITE: 28	30	31	0
SITE: 7	8	10	1
SITE: 51	52	54	1
SITE: 50	51	54	0
SITE: 38	39	41	0
SITE: 27	29	31	0
SITE: 54	56	57	1
SITE: 16	18	19	0
SITE: 49	50	54	1
SITE: 36	38	40	1
SITE: 48	53	54	0
SITE: 47	48	54	1
SITE: 2	3	5	0
SITE: 1	2	5	1
SITE: 6	7	10	1
SITE: 5	9	10	1
SITE: 49	54	57	1
SITE: 26	27	31	1
SITE: 15	16	19	1
SITE: 4	5	10	1
SITE: 33	35	36	0
SITE: 42	44	45	1
SITE: 36	40	41	1
SITE: 41	43	45	0
SITE: 6	10	12	1
SITE: 57	59	60	0
SITE: 57	60	61	1
SITE: 14	15	19	1
SITE: 21	23	24	0
SITE: 37	41	45	0
SITE: 36	37	45	1
SITE: 34	36	45	1
SITE: 33	34	45	0
SITE: 45	47	49	0
SITE: 28	31	33	0
SITE: 13	14	19	1
SITE: 12	13	19	1
SITE: 12	19	20	0
SITE: 33	45	46	0
SITE: 24	26	28	0
SITE: 22	24	28	0
SITE: 57	61	62	1
SITE: 0	0	6	1
SITE: 12	17	21	0
SITE: 12	21	22	1
SITE: 12	22	25	1
SITE: 12	25	28	1
SITE: 12	28	32	0
SITE: 12	20	33	1
SITE: 12	33	42	1
SITE: 46	49	57	1
SITE: 4	6	12	0
SITE: 1	1	12	1
SITE: 57	62	63	0
SITE: 42	46	57	0
SITE: 4	12	32	1
SITE: 55	57	63	0
SITE: 4	4	42	1
SITE: 42	55	63	0
SITE: 32	42	63	0
SITE: 11	63	63	1
WARN: Unitary gate is identity
SITE: 32	32	32	0
WARN: Unitary gate is identity
SITE: 58	58	58	0
WARN: Unitary gate is identity
SITE: 11	11	11	1
MPS Info: -10.8738 0.65146 0.000446301 
Writing MPS done!
