LHHHLLHLLLLLHLLLLLLLHHHLHHHLLLHLHLHLHHLHLLHHLHHLHHHHLHHHLHHHHLLL
W_LIST: 2.96142 -3.84965 1.07976 -2.93132 -6.6746 2.35027 8.25679 -9.39581 -7.76657 1.19893 9.3298 7.44034 -4.65032 -0.798551 7.984 -9.98341 -8.83497 9.23027 -2.74921 -6.49467 -1.34182 -8.79161 4.09634 8.07864 -7.91062 1.13814 -5.20952 0.817325 -7.7416 7.36274 -4.21196 -1.80953 -1.73452 7.18637 9.8742 7.08464 -5.85407 1.84148 7.96985 -9.96228 -9.29386 3.28076 -6.73715 8.63295 -5.52913 -7.61605 6.22517 7.93476 -7.14145 4.90839 6.59565 -5.60146 7.53349 8.87532 -8.44725 -0.137513 -3.65912 -4.92786 8.07086 5.03021 -1.68754 -9.03566 -8.15128 -2.72117 
st	op	ed	phy
SITE: 14	15	17	0
SITE: 38	39	41	1
SITE: 51	53	54	0
SITE: 33	34	36	0
SITE: 45	47	48	1
SITE: 21	23	24	1
SITE: 14	17	18	1
SITE: 42	43	45	0
SITE: 50	52	54	1
SITE: 5	7	8	0
SITE: 14	16	19	0
SITE: 38	40	42	0
SITE: 6	8	10	0
SITE: 6	10	11	1
SITE: 44	45	48	1
SITE: 49	50	54	0
SITE: 48	51	54	1
SITE: 46	48	54	1
SITE: 59	61	62	0
SITE: 44	46	54	0
SITE: 42	44	54	0
SITE: 41	42	54	1
SITE: 38	49	54	0
SITE: 33	35	37	1
SITE: 33	36	38	1
SITE: 20	21	24	1
SITE: 58	59	62	0
SITE: 57	58	62	0
SITE: 6	11	12	1
SITE: 26	28	29	0
SITE: 3	4	6	0
SITE: 37	38	54	1
SITE: 14	19	20	0
SITE: 33	41	54	1
SITE: 26	29	30	1
SITE: 32	33	54	1
SITE: 5	6	12	0
SITE: 22	24	26	1
SITE: 12	14	18	1
SITE: 54	56	57	0
SITE: 57	62	63	0
SITE: 37	54	57	1
SITE: 26	30	31	1
SITE: 3	5	12	1
SITE: 26	31	32	0
SITE: 0	1	3	1
SITE: 12	18	20	0
SITE: 12	13	22	0
SITE: 22	26	27	1
SITE: 9	12	22	1
SITE: 3	20	22	1
SITE: 32	37	57	0
SITE: 27	32	57	1
SITE: 2	3	22	1
SITE: 55	57	63	1
SITE: 0	0	22	1
SITE: 9	22	27	0
SITE: 27	60	63	1
SITE: 25	27	63	1
SITE: 9	55	63	1
SITE: 2	63	63	0
SITE: 2	9	25	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 25	25	25	0
MPS Info: -14.6915 0.329149 0.691235 
Writing MPS done!
