HHLHHHLHHLLLHHLHLLLHLLHLHHLHHHLHLHLHHHHLHLLHHLLLHHLHLLHHHLHLLHHH
W_LIST: -2.14901 0.624279 0.752518 -2.07992 1.21018 -1.2634 0.764947 2.10586 -0.131982 1.46867 -0.438432 0.322286 -1.00012 -1.40285 0.645571 -0.430593 1.42599 -0.124529 0.695227 -1.70969 1.78759 -1.83203 -1.24838 0.551643 -0.140059 -1.39665 -0.236815 1.01576 0.226553 1.64856 1.93967 1.50079 1.58556 -0.918985 0.477583 -1.92219 -2.32333 1.03091 -1.57057 -1.72735 -0.774922 -0.626467 0.639916 1.72404 0.457252 -2.14367 2.0635 -1.44046 -0.507119 0.925212 2.17 -2.29416 0.837034 -0.609593 -1.34257 -0.468827 0.0671036 -0.0766599 1.94459 -0.17584 0.69023 -1.73706 -1.22998 0.605409 
st	op	ed	phy
SITE: 35	36	38	1
SITE: 19	21	22	0
SITE: 29	30	32	1
SITE: 43	45	46	0
SITE: 43	46	47	1
SITE: 50	51	53	1
SITE: 35	38	39	1
SITE: 0	0	3	1
SITE: 2	3	5	1
SITE: 32	33	35	1
SITE: 58	60	61	1
SITE: 58	61	62	1
SITE: 47	49	50	0
SITE: 42	43	47	0
SITE: 44	47	50	0
SITE: 17	19	20	1
SITE: 6	7	9	0
SITE: 35	39	40	0
SITE: 50	52	54	1
SITE: 50	54	55	1
SITE: 44	50	53	1
SITE: 58	62	63	1
SITE: 16	18	20	1
SITE: 15	16	20	1
SITE: 14	17	20	0
SITE: 13	15	20	1
SITE: 12	13	20	1
SITE: 5	6	9	1
SITE: 4	5	9	1
SITE: 31	32	35	1
SITE: 9	10	12	0
SITE: 8	9	12	1
SITE: 56	58	59	0
SITE: 11	12	20	1
SITE: 29	31	35	1
SITE: 29	35	37	1
SITE: 26	27	29	0
SITE: 20	23	24	1
SITE: 20	22	25	1
SITE: 20	25	26	1
SITE: 40	42	44	1
SITE: 41	44	53	0
SITE: 41	53	55	0
SITE: 24	26	29	0
SITE: 20	24	29	1
SITE: 20	29	34	0
SITE: 20	28	37	0
SITE: 20	37	40	1
SITE: 20	40	41	1
SITE: 14	20	41	1
SITE: 41	55	56	1
SITE: 41	56	57	1
SITE: 41	57	59	1
SITE: 41	59	63	0
SITE: 11	34	41	0
SITE: 8	11	41	1
SITE: 4	8	41	1
SITE: 2	4	41	0
SITE: 1	2	41	1
SITE: 1	41	48	0
SITE: 1	1	63	1
SITE: 14	63	63	0
SITE: 14	48	48	1
WARN: Unitary gate is identity
SITE: 14	14	14	0
MPS Info: 6.29356 1.13316 0.359344 
Writing MPS done!
