HLHHHLHLLLLLHLLHHHLHHLLLLLHHLHHHLHLLLHLHHHHLLHHLHHHLLHHHHLLHHLHH
W_LIST: -1.42325 0.875924 -1.56471 1.36661 1.48231 1.06948 -1.0258 0.709923 -2.0726 1.13617 0.418432 -1.01097 0.422398 -0.736119 -1.62528 -0.958561 0.0911758 0.483789 0.601642 -2.11274 1.91349 -0.0993828 -1.95642 -2.29401 -0.115739 -0.677559 0.121539 1.5849 -0.885966 1.11073 -2.08666 -1.08464 -0.398388 0.94891 -0.374688 0.546254 0.947262 -2.29914 -1.35219 1.52204 0.12286 0.199497 -0.76237 0.477156 -0.946058 -1.7499 -0.698163 -0.531823 0.8379 -0.487148 -0.730389 1.12037 2.04239 -2.01505 -0.408675 1.3664 -0.181488 0.293734 0.377423 -0.458647 -1.43548 0.359243 1.40357 1.33065 
st	op	ed	phy
SITE: 20	22	23	0
SITE: 19	20	23	0
SITE: 36	37	39	1
SITE: 50	52	53	1
SITE: 27	29	30	0
SITE: 0	2	3	1
SITE: 5	6	8	1
SITE: 51	53	55	1
SITE: 18	19	23	1
SITE: 8	9	11	1
SITE: 4	5	8	1
SITE: 3	4	8	0
SITE: 38	39	41	0
SITE: 27	30	31	1
SITE: 8	11	12	0
SITE: 8	12	13	0
SITE: 8	10	14	1
SITE: 8	14	15	0
SITE: 60	62	63	0
SITE: 59	60	63	1
SITE: 42	44	45	0
SITE: 21	23	25	0
SITE: 43	45	47	1
SITE: 1	3	8	0
SITE: 0	0	8	1
SITE: 27	31	32	1
SITE: 27	32	33	0
SITE: 27	33	34	0
SITE: 50	54	55	1
SITE: 58	59	63	1
SITE: 24	25	27	0
SITE: 21	24	27	1
SITE: 27	28	35	0
SITE: 27	35	36	1
SITE: 27	34	38	0
SITE: 27	38	40	0
SITE: 27	40	41	0
SITE: 21	27	36	0
SITE: 43	46	48	1
SITE: 8	15	16	1
SITE: 8	13	17	0
SITE: 8	17	18	0
SITE: 57	61	63	1
SITE: 56	57	63	1
SITE: 55	58	63	0
SITE: 51	55	63	0
SITE: 50	51	63	1
SITE: 49	50	63	1
SITE: 48	49	63	1
SITE: 47	48	63	0
SITE: 43	47	63	0
SITE: 42	43	63	1
SITE: 41	42	63	1
SITE: 8	16	21	0
SITE: 8	21	26	1
SITE: 7	8	26	0
SITE: 36	41	63	0
SITE: 26	36	63	1
SITE: 18	26	63	0
SITE: 7	18	63	1
SITE: 1	63	63	0
SITE: 1	7	56	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 56	56	56	0
MPS Info: 8.38866 0.991358 0.446262 
Writing MPS done!
