HLHHLLHHHLHLHHLHHHLLLLHLHLHHHLLLHHHHHLHHLHHLLHHLLHHHLHHHLHLLLLHL
W_LIST: 1.22859 -0.405804 1.88386 -2.20234 0.336032 2.1789 -0.119243 0.00118356 -1.07167 -2.0839 -1.00247 2.06627 -1.40727 -0.119389 -2.09481 -0.514931 1.06997 2.21148 -0.649924 1.24244 -0.300054 1.38682 0.883643 -2.13024 0.489256 0.803095 -0.245984 -0.684649 -1.91505 -1.60026 1.41198 -1.61216 -1.53454 2.32721 -1.04654 -0.898435 -1.50294 -0.369941 -1.84919 1.73173 1.65231 2.24501 -1.24398 -0.909211 -1.89462 -2.20116 -0.689702 1.00766 -0.131457 0.0704189 1.24675 1.36631 -1.38616 -0.402597 -1.87482 -2.17852 0.0545649 1.21885 0.791794 2.07576 -1.53777 1.83232 -1.16989 2.23449 
st	op	ed	phy
SITE: 38	39	41	0
SITE: 60	61	63	1
SITE: 59	60	63	0
SITE: 58	59	63	1
SITE: 30	31	33	0
SITE: 2	3	5	1
SITE: 11	12	14	1
SITE: 29	30	33	1
SITE: 28	29	33	0
SITE: 52	54	55	1
SITE: 38	40	42	1
SITE: 42	44	45	0
SITE: 14	16	17	0
SITE: 51	52	55	0
SITE: 33	34	36	1
SITE: 57	62	63	1
SITE: 14	17	18	0
SITE: 8	9	11	0
SITE: 50	51	55	0
SITE: 32	33	36	0
SITE: 20	21	23	1
SITE: 10	11	14	1
SITE: 19	20	23	0
SITE: 19	23	24	0
SITE: 14	18	19	0
SITE: 14	19	22	1
SITE: 41	42	45	1
SITE: 49	50	55	0
SITE: 55	57	58	0
SITE: 55	58	63	1
SITE: 53	55	63	1
SITE: 1	2	5	0
SITE: 0	0	5	0
SITE: 14	22	24	0
SITE: 14	24	25	0
SITE: 35	36	38	1
SITE: 35	38	41	1
SITE: 28	35	37	1
SITE: 10	14	15	0
SITE: 5	6	8	1
SITE: 45	47	48	1
SITE: 45	46	49	1
SITE: 5	7	10	1
SITE: 4	5	10	1
SITE: 37	41	45	0
SITE: 37	45	48	1
SITE: 25	27	28	1
SITE: 25	28	32	1
SITE: 4	10	13	1
SITE: 25	32	37	1
SITE: 49	56	63	0
SITE: 48	49	63	0
SITE: 43	48	63	0
SITE: 37	43	63	1
SITE: 26	37	63	0
SITE: 25	26	63	1
SITE: 15	25	63	1
SITE: 13	15	63	1
SITE: 8	13	63	0
SITE: 4	8	63	1
SITE: 1	63	63	1
SITE: 1	4	53	0
SITE: 1	1	53	1
SITE: 53	53	53	0
MPS Info: 1.53681 1.43304 0.414311 
Writing MPS done!
