HLLLHHLHLHLHLHLHLLHHLHLLLLLLLHLHHLLLHHHHLLHLHHHLHLHHLHHLHLHHLHLH
W_LIST: 1.49788 2.16978 -1.96 -0.632018 1.28164 -1.66545 1.18922 1.09639 1.6273 1.39448 2.06937 2.23261 0.760854 -0.0860522 -1.74236 0.390671 -2.02577 -0.0881004 1.6754 0.290284 -0.293759 -1.55555 -1.48176 0.523475 1.65547 -1.25795 0.237934 1.20781 -1.97067 1.40184 -2.05134 0.122564 -2.09973 -2.00639 1.93985 0.156987 0.75759 -0.769443 -1.37227 -0.901803 1.2312 -1.67469 1.2489 2.29044 -2.19778 -0.0844742 0.570215 0.587094 -1.69521 1.8638 1.10173 0.37204 1.70311 0.69213 -1.82813 1.40824 -1.82186 -2.25763 -2.08256 0.197618 0.219945 -0.858864 -0.805215 -0.991246 
st	op	ed	phy
SITE: 55	57	58	0
SITE: 41	43	44	1
SITE: 8	10	11	1
SITE: 30	32	33	1
SITE: 27	28	30	0
SITE: 29	30	33	0
SITE: 29	33	34	0
SITE: 40	41	44	0
SITE: 27	29	34	0
SITE: 39	40	44	1
SITE: 38	39	44	1
SITE: 1	2	4	0
SITE: 1	4	5	0
SITE: 54	55	58	1
SITE: 52	54	56	1
SITE: 49	50	52	0
SITE: 48	49	52	1
SITE: 37	38	44	1
SITE: 0	1	5	1
SITE: 5	6	8	1
SITE: 21	22	24	0
SITE: 21	24	25	1
SITE: 13	14	16	0
SITE: 36	37	44	1
SITE: 5	8	9	1
SITE: 15	16	18	0
SITE: 11	13	15	0
SITE: 44	46	47	0
SITE: 44	47	48	1
SITE: 42	44	48	1
SITE: 52	56	58	1
SITE: 12	15	18	0
SITE: 11	12	18	1
SITE: 48	52	53	1
SITE: 23	25	27	0
SITE: 26	27	34	1
SITE: 34	36	42	0
SITE: 18	19	21	0
SITE: 18	21	23	1
SITE: 11	18	20	0
SITE: 34	42	45	0
SITE: 34	35	48	1
SITE: 34	48	51	1
SITE: 60	61	63	1
SITE: 5	9	11	1
SITE: 5	11	17	0
SITE: 58	60	62	0
SITE: 58	62	63	0
SITE: 3	5	17	1
SITE: 7	17	23	1
SITE: 23	26	34	1
SITE: 23	34	45	1
SITE: 51	58	59	1
SITE: 3	7	23	1
SITE: 0	0	23	0
SITE: 23	45	51	0
SITE: 23	51	53	1
SITE: 23	53	59	1
SITE: 23	59	63	0
SITE: 3	23	31	1
SITE: 3	3	63	1
SITE: 20	20	63	0
SITE: 31	63	63	0
WARN: Unitary gate is identity
SITE: 31	31	31	0
MPS Info: -7.89867 1.10843 0.186421 
Writing MPS done!
