LHHLLHLLLLHLLLLLHLLLHHHLLHHLLLHHHHLLHLLLHHLLLLLLLHHHHLLHHHLLLHLH
W_LIST: 2.06431 -0.955646 -1.24557 1.79297 -1.31335 1.75493 0.79429 -0.145715 -2.63143 1.06933 0.000627452 1.1246 -1.73538 -0.383677 -2.34695 0.672031 0.253769 0.968994 0.622749 0.503948 2.27074 2.13737 2.6015 1.81587 -0.115473 -2.40896 1.44822 1.13522 -1.7735 -0.164359 -1.94815 1.24678 2.44223 0.234773 -2.07554 -0.877548 0.12971 2.54221 -0.330115 -2.42063 -0.308778 -0.27048 1.36112 1.81865 0.0867142 0.399984 0.503275 -1.04875 0.813882 -2.58758 2.49946 -1.70207 2.09329 2.05685 0.173143 -2.50299 0.686528 0.589047 -1.7066 0.346679 1.16114 0.782044 1.27829 -0.11212 
st	op	ed	phy
SITE: 49	50	52	0
SITE: 20	22	23	0
SITE: 21	23	25	1
SITE: 49	52	53	0
SITE: 21	25	26	1
SITE: 2	3	5	1
SITE: 0	0	4	1
SITE: 1	2	5	1
SITE: 11	12	14	0
SITE: 8	9	11	1
SITE: 5	6	8	1
SITE: 4	5	8	0
SITE: 1	1	8	1
SITE: 30	32	33	0
SITE: 28	30	31	1
SITE: 20	21	26	0
SITE: 4	8	10	0
SITE: 53	55	56	1
SITE: 34	35	37	0
SITE: 48	49	53	1
SITE: 37	39	40	0
SITE: 33	34	37	0
SITE: 14	15	17	1
SITE: 10	11	14	1
SITE: 14	17	18	1
SITE: 31	33	37	0
SITE: 10	14	16	0
SITE: 20	24	27	0
SITE: 20	26	28	0
SITE: 19	20	28	0
SITE: 31	37	38	1
SITE: 47	51	53	1
SITE: 46	47	53	0
SITE: 45	46	53	1
SITE: 40	42	43	1
SITE: 27	28	31	0
SITE: 58	60	61	1
SITE: 53	54	57	0
SITE: 53	57	58	0
SITE: 48	53	58	1
SITE: 4	4	13	0
SITE: 41	43	45	1
SITE: 16	19	27	1
SITE: 13	16	27	1
SITE: 10	13	27	1
SITE: 7	10	27	1
SITE: 18	27	31	1
SITE: 58	61	62	1
SITE: 58	62	63	1
SITE: 48	58	59	0
SITE: 48	59	63	1
SITE: 41	44	48	0
SITE: 41	48	56	1
SITE: 41	56	63	0
SITE: 40	41	63	1
SITE: 18	31	36	0
SITE: 7	18	36	0
SITE: 38	45	63	1
SITE: 36	38	63	0
SITE: 29	36	63	1
SITE: 7	63	63	1
SITE: 7	7	40	0
SITE: 29	29	40	1
SITE: 40	40	40	0
MPS Info: -5.65747 1.31797 0.00736953 
Writing MPS done!
