LLLLLHLLHHLHHLHLLHHLLLLHLHLHLHLLHLLLLLLLHLHLHLLHLLHLLLHLLLLLHLLL
W_LIST: -2.64083 -0.394918 0.617892 0.0584355 0.845722 -1.70274 -1.53815 2.35492 -1.78897 -1.62863 1.69445 1.50439 -2.10498 -0.30756 -1.5422 -2.58024 -1.49462 1.03844 0.612065 -1.67007 2.28511 0.739175 2.52067 2.555 2.5473 -1.79487 2.55313 0.13619 -1.90051 1.37024 0.784193 -0.112385 1.15173 0.980017 -0.576841 1.53226 -0.0289093 1.63004 0.758815 2.20633 -1.27028 1.41981 1.73303 -1.5157 -0.605492 -0.0870618 -1.94 -2.00902 2.56343 1.50718 2.16834 1.34775 -1.4931 -0.763602 0.27976 0.366528 1.72215 -2.02867 2.37049 1.37839 -0.145539 -0.0426357 2.11094 -2.15732 
st	op	ed	phy
SITE: 23	24	26	1
SITE: 22	25	26	1
SITE: 47	48	50	1
SITE: 20	22	23	1
SITE: 56	58	59	1
SITE: 7	8	10	1
SITE: 46	47	50	1
SITE: 9	10	12	1
SITE: 5	7	9	1
SITE: 6	9	12	1
SITE: 12	14	15	1
SITE: 12	15	16	0
SITE: 20	23	26	0
SITE: 39	41	42	1
SITE: 39	40	43	1
SITE: 5	6	12	0
SITE: 46	50	51	0
SITE: 46	51	52	1
SITE: 37	39	42	1
SITE: 19	20	26	1
SITE: 54	56	57	1
SITE: 43	44	46	1
SITE: 42	43	46	0
SITE: 46	52	53	0
SITE: 42	46	49	0
SITE: 60	62	63	1
SITE: 16	17	19	0
SITE: 26	28	29	0
SITE: 29	30	32	1
SITE: 32	33	35	1
SITE: 34	35	37	1
SITE: 29	32	34	0
SITE: 57	59	61	1
SITE: 57	61	63	0
SITE: 55	57	63	0
SITE: 4	11	12	0
SITE: 18	19	26	0
SITE: 0	0	3	0
SITE: 27	29	34	0
SITE: 36	37	42	1
SITE: 34	36	42	0
SITE: 26	27	34	0
SITE: 26	34	38	0
SITE: 26	31	42	0
SITE: 26	42	45	0
SITE: 16	18	26	0
SITE: 2	4	5	1
SITE: 2	5	12	1
SITE: 54	55	63	0
SITE: 53	54	63	0
SITE: 49	53	63	1
SITE: 45	49	63	1
SITE: 38	45	63	1
SITE: 26	38	63	0
SITE: 21	26	63	1
SITE: 2	12	13	1
SITE: 16	21	63	0
SITE: 13	16	63	0
SITE: 3	13	63	0
SITE: 2	3	63	0
SITE: 1	63	63	0
SITE: 1	2	60	1
SITE: 1	1	60	0
WARN: Unitary gate is identity
SITE: 60	60	60	0
MPS Info: -19.3543 1.83527 0.750916 
Writing MPS done!
