HLHHHHHLHLLHLLHHHHLLLLHHHHHHHHLHLHLLLHLHLLHHHLHHLHLLLHHLHLHHHLHL
W_LIST: -0.488837 -1.09237 1.82 1.96757 -2.23754 -0.504586 -1.72168 0.467146 -1.50039 -0.431494 -0.357173 -2.48634 -0.738586 -0.0411524 1.27444 -0.663204 0.366029 -1.37849 -2.08533 1.36089 2.33542 -1.49451 -0.422246 2.48196 1.22702 -2.30555 1.10032 -0.700399 -2.34504 -1.23866 -0.292612 -2.20945 1.95501 -1.73163 2.00862 -0.673424 2.07592 -1.56255 -0.749926 2.44069 0.684443 2.01585 0.374717 -2.54592 2.29179 0.868277 -2.51149 -0.0499567 0.706864 -0.121157 1.00943 -1.27791 1.91452 -2.65518 0.652918 2.42983 -2.63318 2.10933 0.680296 2.32939 -2.05891 -0.269015 -0.294767 -1.33554 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 56	57	59	1
SITE: 52	53	56	1
SITE: 56	59	60	0
SITE: 43	44	46	0
SITE: 31	32	34	1
SITE: 31	33	35	1
SITE: 28	29	31	1
SITE: 28	31	34	1
SITE: 25	26	28	0
SITE: 18	20	21	1
SITE: 1	3	4	0
SITE: 36	37	39	1
SITE: 24	25	28	1
SITE: 23	24	28	0
SITE: 23	28	30	1
SITE: 38	39	41	0
SITE: 51	52	56	1
SITE: 50	51	56	0
SITE: 19	21	23	0
SITE: 2	4	6	1
SITE: 23	30	34	0
SITE: 42	43	46	1
SITE: 23	34	35	1
SITE: 23	35	36	0
SITE: 23	36	38	1
SITE: 56	60	61	1
SITE: 18	19	23	1
SITE: 17	18	23	0
SITE: 1	2	6	0
SITE: 41	45	46	1
SITE: 40	41	46	1
SITE: 49	50	56	1
SITE: 8	9	11	0
SITE: 48	49	56	1
SITE: 11	12	14	0
SITE: 56	61	62	0
SITE: 56	62	63	0
SITE: 54	56	63	1
SITE: 17	23	27	0
SITE: 11	14	15	0
SITE: 8	11	13	1
SITE: 46	48	54	1
SITE: 5	6	8	1
SITE: 46	54	58	1
SITE: 46	58	63	0
SITE: 42	46	63	1
SITE: 1	5	8	1
SITE: 13	16	17	0
SITE: 0	1	8	0
SITE: 40	47	63	1
SITE: 17	27	38	1
SITE: 7	8	13	1
SITE: 38	42	63	1
SITE: 22	38	63	0
SITE: 17	22	63	0
SITE: 15	17	63	1
SITE: 13	40	63	1
SITE: 10	13	63	1
SITE: 7	15	63	1
SITE: 0	63	63	0
SITE: 0	0	10	0
SITE: 7	7	10	0
SITE: 10	10	10	1
MPS Info: 12.1963 0.769883 0.0451923 
Writing MPS done!
