LLHLHHLLLHHLLHHLLHLLHHLLLHLHHLHHLHHHLHHLHLLLHLLLHHLHLLHLHHHHLHLH
W_LIST: -1.6135 -1.25334 1.34649 -0.437416 1.85046 -0.384344 1.77975 -1.25231 -1.79658 0.246393 -1.73956 0.419419 1.00258 -1.17555 0.856677 0.407733 -1.43326 1.91922 -1.40726 1.71516 1.53981 -0.0981988 0.898039 -1.24862 0.880821 1.03202 0.212105 -1.50368 0.146718 -0.00801021 -1.30785 -1.22273 0.875845 -0.508661 -1.02664 -0.744006 -0.0539069 0.54198 -0.938755 0.256751 -1.02664 0.0977093 -1.3109 0.226349 0.132263 -0.0231601 -1.14728 -1.59745 -1.77757 -1.66644 1.73818 1.17731 -0.629784 0.416424 -1.11234 -1.32366 -1.55307 0.950094 -0.798085 -1.76307 -1.89876 0.198933 -0.742746 1.75079 
st	op	ed	phy
SITE: 47	48	50	1
SITE: 46	49	50	1
SITE: 16	17	19	0
SITE: 4	6	7	1
SITE: 4	7	8	0
SITE: 1	2	4	0
SITE: 60	62	63	0
SITE: 59	60	63	0
SITE: 58	61	63	0
SITE: 57	59	63	1
SITE: 56	57	63	0
SITE: 19	20	22	0
SITE: 46	47	51	0
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 19	22	23	1
SITE: 19	23	24	0
SITE: 0	0	4	0
SITE: 24	25	27	0
SITE: 24	27	28	1
SITE: 18	19	24	1
SITE: 10	12	13	1
SITE: 10	13	14	1
SITE: 53	54	63	1
SITE: 30	31	33	1
SITE: 4	8	9	0
SITE: 4	5	10	1
SITE: 4	10	11	1
SITE: 16	18	24	0
SITE: 52	58	63	1
SITE: 51	52	63	0
SITE: 50	51	63	0
SITE: 46	50	63	1
SITE: 45	46	63	0
SITE: 44	45	63	1
SITE: 43	53	63	1
SITE: 42	44	63	1
SITE: 41	42	63	0
SITE: 40	41	63	1
SITE: 39	40	63	1
SITE: 38	39	63	1
SITE: 37	38	63	1
SITE: 30	33	34	1
SITE: 30	34	35	1
SITE: 15	16	24	0
SITE: 14	15	24	1
SITE: 30	35	36	1
SITE: 26	28	30	1
SITE: 24	29	30	0
SITE: 21	24	30	1
SITE: 36	37	63	0
SITE: 3	4	11	0
SITE: 32	36	63	0
SITE: 30	32	63	0
SITE: 26	30	63	1
SITE: 21	26	63	1
SITE: 14	21	63	0
SITE: 11	14	63	1
SITE: 9	11	63	0
SITE: 3	9	63	0
SITE: 1	63	63	0
SITE: 1	3	43	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 43	43	43	1
MPS Info: 2.30405 1.69163 0.233329 
Writing MPS done!
