LLHHLHLLHLLHLHHLHLLHLLLLHLLHLLLHHLHLHHHHLLLLHHLHLHHLHHHLHLHLLHLL
W_LIST: 1.42667 -1.30474 -1.50105 1.62822 1.50302 -1.23379 -1.1661 0.978091 -1.37138 -0.317824 0.125927 1.06192 1.37732 -1.04678 0.218101 1.90577 0.608942 -0.963297 1.57467 0.0373143 -0.43587 0.536433 -0.238707 -0.998208 -0.614482 -0.929096 -1.91868 1.80624 -0.068146 1.58812 -0.685467 1.47794 -1.30732 0.752091 -1.49124 1.33273 -1.32225 -1.00116 0.903421 0.0843164 1.34675 0.95723 0.318273 0.585534 -1.03876 -1.84711 -0.280649 0.778042 0.182199 1.26078 1.17802 1.33677 -0.696991 0.644984 1.06802 0.530781 1.19892 -0.478371 -1.90076 -1.01769 0.890694 1.8038 0.665879 1.29086 
st	op	ed	phy
SITE: 26	27	29	0
SITE: 2	3	5	0
SITE: 58	59	61	0
SITE: 60	61	63	0
SITE: 29	31	32	0
SITE: 0	0	4	1
SITE: 1	1	5	0
SITE: 4	5	7	1
SITE: 4	6	8	0
SITE: 15	17	18	0
SITE: 14	15	18	1
SITE: 34	35	37	1
SITE: 32	34	36	1
SITE: 58	60	63	1
SITE: 23	25	26	0
SITE: 49	51	52	1
SITE: 4	7	9	1
SITE: 36	38	39	0
SITE: 49	52	53	1
SITE: 36	37	40	1
SITE: 36	40	41	1
SITE: 10	12	13	1
SITE: 13	16	18	0
SITE: 11	13	18	1
SITE: 43	45	46	1
SITE: 30	32	36	1
SITE: 29	30	36	0
SITE: 28	29	36	1
SITE: 46	47	49	0
SITE: 10	11	18	0
SITE: 49	50	54	0
SITE: 49	54	55	0
SITE: 49	55	56	1
SITE: 44	46	49	0
SITE: 43	44	49	1
SITE: 49	56	57	0
SITE: 49	53	58	0
SITE: 49	58	62	1
SITE: 49	62	63	1
SITE: 48	49	63	0
SITE: 18	20	21	0
SITE: 14	18	21	1
SITE: 4	8	10	1
SITE: 36	41	42	1
SITE: 36	42	43	0
SITE: 36	43	48	1
SITE: 36	48	57	1
SITE: 36	57	63	0
SITE: 33	36	63	1
SITE: 21	23	24	0
SITE: 21	24	26	0
SITE: 19	21	26	1
SITE: 4	10	14	1
SITE: 2	4	14	1
SITE: 14	22	26	1
SITE: 9	14	26	1
SITE: 2	9	26	0
SITE: 2	26	28	0
SITE: 28	39	63	1
SITE: 19	28	63	0
SITE: 2	63	63	1
SITE: 2	2	33	1
SITE: 19	19	33	1
SITE: 33	33	33	1
MPS Info: 0.0173412 1.69488 0.328082 
Writing MPS done!
