LHHHLHLLLHHLHLHHHHLHHHLLLLHLLHLHLHHLHLHHLLLHHHLLLHLHLLHLHHHHLLHL
W_LIST: 1.65782 0.906063 -0.800498 -1.02386 -1.68531 -0.533662 -0.0429577 1.91818 0.945337 -1.3321 -1.2373 1.2047 -0.761633 -1.01817 0.520639 -1.31689 1.95165 1.06281 -0.429346 -0.779984 -0.430467 -1.9892 1.73091 1.27966 0.386562 1.30177 -1.5033 -0.569332 -0.115894 0.165034 0.341729 -1.03303 -1.79247 1.03226 1.07218 -1.76133 0.618122 -1.34408 1.31279 1.82378 0.985285 1.59268 -1.54191 -0.66798 -1.29899 -0.0302101 0.800824 0.417039 -1.16008 -1.19983 1.05354 0.483315 1.95474 1.58466 1.10811 -0.390454 -0.41175 0.537526 -0.368017 1.37017 -1.60054 -0.506232 0.978907 -1.47802 
st	op	ed	phy
SITE: 39	41	42	1
SITE: 38	39	42	0
SITE: 37	38	42	0
SITE: 32	34	35	0
SITE: 40	42	44	0
SITE: 21	22	24	1
SITE: 21	23	25	1
SITE: 21	25	26	1
SITE: 21	26	27	1
SITE: 50	52	53	1
SITE: 7	9	10	1
SITE: 7	10	11	1
SITE: 19	21	24	1
SITE: 13	15	16	1
SITE: 31	32	35	0
SITE: 4	5	7	1
SITE: 3	4	7	0
SITE: 60	62	63	0
SITE: 57	59	60	0
SITE: 33	35	37	0
SITE: 7	11	12	1
SITE: 7	12	13	1
SITE: 6	7	13	1
SITE: 49	50	53	1
SITE: 48	49	53	1
SITE: 33	36	40	0
SITE: 0	0	3	1
SITE: 13	16	17	0
SITE: 17	19	20	1
SITE: 17	20	24	1
SITE: 17	24	27	0
SITE: 13	17	18	0
SITE: 48	51	54	1
SITE: 48	54	55	0
SITE: 44	46	47	1
SITE: 44	47	48	0
SITE: 44	48	53	0
SITE: 3	6	13	0
SITE: 29	30	33	1
SITE: 28	31	33	1
SITE: 27	29	33	1
SITE: 27	33	37	0
SITE: 58	60	63	0
SITE: 13	18	27	0
SITE: 40	44	45	1
SITE: 13	27	28	0
SITE: 2	3	13	1
SITE: 1	2	13	1
SITE: 57	61	63	1
SITE: 56	57	63	0
SITE: 55	58	63	0
SITE: 53	55	63	0
SITE: 45	53	63	1
SITE: 43	45	63	1
SITE: 40	43	63	1
SITE: 37	40	63	1
SITE: 13	14	37	0
SITE: 28	37	63	0
SITE: 13	56	63	0
SITE: 8	13	63	0
SITE: 1	63	63	0
SITE: 1	1	28	1
SITE: 8	28	28	1
WARN: Unitary gate is identity
SITE: 8	8	8	0
MPS Info: 1.34207 1.25199 0.635681 
Writing MPS done!
