LLHHHHLLHHHHLLLLHLHHHLLHLLLLLLHLLLHLHLLHHHLHHHHLLHHLLLLLHHLHHHHH
W_LIST: 1.70032 -1.7102 1.92611 -2.94685 -2.23455 -1.24986 -3.41417 1.99226 -0.572331 1.99363 -1.34511 3.64168 2.6977 -1.57523 0.337822 1.75401 2.44592 0.377722 1.00387 1.32652 2.92663 0.219218 -2.6283 -0.35147 -0.197086 2.87586 1.42975 0.667976 -0.692665 0.618684 3.64409 -1.54328 -0.84323 -2.61108 -1.51706 2.23508 2.36097 1.40883 -0.797253 -1.11484 -1.83511 -1.6696 -3.24445 -2.85903 2.32365 -0.0681859 -2.28946 -2.87031 -0.992924 -1.3418 0.675086 -0.385543 0.986858 -2.28219 -1.22875 0.993239 1.33511 0.228673 0.113554 0.921245 -2.38324 -2.21686 -2.37797 -1.29349 
st	op	ed	phy
SITE: 41	42	44	0
SITE: 9	11	12	0
SITE: 3	4	6	1
SITE: 3	6	7	0
SITE: 0	2	3	0
SITE: 30	31	33	0
SITE: 30	33	34	0
SITE: 60	62	63	1
SITE: 1	3	7	1
SITE: 30	34	35	1
SITE: 30	35	36	1
SITE: 46	47	49	0
SITE: 30	36	37	0
SITE: 9	12	13	1
SITE: 40	43	44	1
SITE: 59	61	63	1
SITE: 19	20	22	0
SITE: 22	24	25	0
SITE: 22	25	26	1
SITE: 7	9	10	0
SITE: 0	0	7	1
SITE: 27	28	30	0
SITE: 26	27	30	1
SITE: 29	30	37	0
SITE: 13	15	16	1
SITE: 16	18	19	0
SITE: 17	19	22	0
SITE: 16	21	22	1
SITE: 16	22	23	0
SITE: 53	55	56	1
SITE: 52	53	56	0
SITE: 1	7	8	1
SITE: 58	60	63	1
SITE: 37	39	40	1
SITE: 37	40	41	1
SITE: 10	13	16	0
SITE: 37	41	44	1
SITE: 37	44	45	0
SITE: 49	50	52	0
SITE: 37	38	46	0
SITE: 49	52	54	1
SITE: 49	54	56	0
SITE: 29	37	45	1
SITE: 1	1	10	0
SITE: 8	10	16	1
SITE: 5	5	16	1
SITE: 16	23	26	0
SITE: 16	17	29	1
SITE: 14	16	29	0
SITE: 29	45	46	0
SITE: 26	29	46	1
SITE: 46	49	51	1
SITE: 57	59	63	0
SITE: 56	58	63	1
SITE: 51	56	63	0
SITE: 48	51	63	0
SITE: 46	48	63	0
SITE: 32	46	63	1
SITE: 26	57	63	1
SITE: 14	32	63	1
SITE: 8	63	63	1
SITE: 8	8	26	1
SITE: 14	14	26	1
WARN: Unitary gate is identity
SITE: 26	26	26	1
MPS Info: 2.17774 0.931682 0.46053 
Writing MPS done!
