LHHLHLHLLLLLHLHLLHLHLLHLLHLLHHHHHHHLLLHHLHLLHHHHHLLLLHHLHHLHHHLL
W_LIST: 3.19889 -3.14015 -0.514792 -3.3794 -2.33604 -0.0536669 -1.34125 -2.15705 -3.60465 -1.52177 -1.7388 -3.29041 0.686612 -0.0304404 -1.62963 3.45874 1.73222 -0.042834 2.61704 -2.53533 -0.441664 2.95269 -2.43879 1.83928 -1.05574 -1.13105 1.89404 0.522644 -3.27032 -3.00644 0.537267 -1.6776 2.24606 -2.12626 -2.21073 3.56235 0.971784 -2.46374 -0.657278 -2.37015 0.611009 -0.304882 2.47352 -0.989997 2.91525 -0.802839 -2.4661 -0.399055 -0.255578 1.24183 1.27501 -2.53923 -2.2594 -2.79356 -2.72495 -1.15963 -1.43686 0.171858 2.3385 1.73 -1.45242 -2.48383 -0.119161 2.94886 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 32	34	35	1
SITE: 51	53	54	1
SITE: 8	10	11	0
SITE: 51	54	55	1
SITE: 31	33	35	1
SITE: 0	3	4	0
SITE: 7	8	11	0
SITE: 28	29	31	1
SITE: 15	16	18	1
SITE: 15	18	19	1
SITE: 19	21	22	1
SITE: 14	15	19	1
SITE: 19	22	23	1
SITE: 32	35	37	1
SITE: 58	59	61	0
SITE: 51	52	56	0
SITE: 42	44	45	0
SITE: 28	31	32	1
SITE: 14	19	20	1
SITE: 58	61	62	1
SITE: 58	60	63	1
SITE: 25	26	28	1
SITE: 57	58	63	1
SITE: 24	25	28	1
SITE: 37	39	40	1
SITE: 23	24	28	0
SITE: 20	23	28	1
SITE: 17	20	28	0
SITE: 14	17	28	1
SITE: 13	14	28	1
SITE: 42	43	46	0
SITE: 42	46	47	1
SITE: 28	32	36	0
SITE: 28	30	37	1
SITE: 28	37	38	0
SITE: 6	7	11	0
SITE: 50	51	56	0
SITE: 49	50	56	1
SITE: 42	47	48	1
SITE: 0	0	5	1
SITE: 12	13	28	0
SITE: 11	12	28	0
SITE: 11	28	36	1
SITE: 40	42	45	1
SITE: 56	62	63	0
SITE: 55	56	63	1
SITE: 49	55	63	0
SITE: 11	36	38	1
SITE: 48	49	63	1
SITE: 45	48	63	1
SITE: 41	45	63	1
SITE: 40	41	63	1
SITE: 38	40	63	0
SITE: 27	38	63	1
SITE: 11	27	63	0
SITE: 9	11	63	0
SITE: 6	57	63	0
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 2	63	63	1
SITE: 2	4	9	1
SITE: 2	2	9	1
WARN: Unitary gate is identity
SITE: 9	9	9	0
MPS Info: -1.12892 1.04596 0.0875426 
Writing MPS done!
