LHLLLHHHLHLHHHHHHHLLHLHHLHHHHLLHLLHHLHHHHLLHHHLHLHLHLLLLHLLLLLLL
W_LIST: -1.03336 -0.615205 0.22302 1.43139 1.64576 -2.37577 -2.59151 -2.23793 -0.794596 0.283966 1.21131 1.4858 0.670183 -1.59163 -2.89975 -0.724358 -0.0936212 -2.96453 -2.13498 -2.33105 2.34214 2.69888 1.16473 -0.205713 1.32749 2.93321 2.81044 1.49104 -0.0664083 -2.55051 -1.7986 1.10013 -1.59712 0.918012 1.84058 -1.68036 -0.438647 -1.24455 1.0481 -1.17812 2.29123 -2.04074 -1.12745 -1.18156 -1.36297 -1.13334 -1.23208 1.43781 1.28 0.736637 1.86039 2.64524 2.96571 0.262716 -1.42802 -1.5129 0.00638077 1.52052 1.99931 -0.317436 0.204466 -1.56178 0.764048 -1.98706 
st	op	ed	phy
SITE: 17	19	20	0
SITE: 17	20	21	0
SITE: 17	21	22	1
SITE: 4	6	7	1
SITE: 3	5	7	1
SITE: 24	25	27	0
SITE: 49	51	52	0
SITE: 48	50	52	1
SITE: 14	15	17	1
SITE: 13	14	17	1
SITE: 52	54	55	0
SITE: 47	48	52	1
SITE: 26	27	29	0
SITE: 24	26	29	0
SITE: 29	30	32	0
SITE: 46	47	52	0
SITE: 46	52	53	1
SITE: 13	17	18	1
SITE: 38	40	41	0
SITE: 29	32	33	0
SITE: 29	31	34	0
SITE: 29	34	35	0
SITE: 24	29	33	0
SITE: 3	7	8	1
SITE: 41	43	44	1
SITE: 41	44	45	1
SITE: 41	45	46	1
SITE: 41	46	49	0
SITE: 37	38	41	0
SITE: 41	49	53	1
SITE: 18	22	24	0
SITE: 24	33	35	1
SITE: 10	11	13	0
SITE: 10	13	16	1
SITE: 60	61	63	0
SITE: 58	60	62	1
SITE: 58	62	63	1
SITE: 57	58	63	1
SITE: 41	42	55	0
SITE: 56	59	63	0
SITE: 10	12	18	0
SITE: 55	57	63	1
SITE: 53	55	63	0
SITE: 24	35	36	1
SITE: 18	24	28	1
SITE: 2	3	8	1
SITE: 41	53	63	1
SITE: 9	10	18	1
SITE: 39	41	63	0
SITE: 8	16	18	1
SITE: 4	8	18	0
SITE: 18	28	36	0
SITE: 18	23	37	1
SITE: 37	39	63	1
SITE: 36	37	63	1
SITE: 18	36	63	0
SITE: 9	18	63	0
SITE: 4	9	63	0
SITE: 2	4	63	1
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	0	56	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: 3.18985 1.18825 0.108109 
Writing MPS done!
