HLLHLLLHHLLHLLHLHHLHHLLLLHHLHLHLLLLLHLLHLHLHLLHHLLHHHLHLLLHHHLHL
W_LIST: 0.00983444 -3.8488 -3.78805 2.16072 -1.01276 1.11827 3.55441 2.8758 -3.41983 2.48217 1.55418 3.07186 -4.26517 -2.1114 -2.22032 4.00334 -0.0742136 0.220772 1.22242 -0.0128418 3.41559 -3.84863 -2.84627 -2.82215 -0.242204 1.40305 -1.90571 4.04272 -0.40597 -4.26416 4.07566 2.59915 3.20379 3.14468 1.98599 3.45877 3.30958 -4.02358 4.17164 0.937366 0.959272 1.18177 3.61081 -1.18697 -3.6574 1.50498 -3.41413 -0.269468 1.7894 2.40151 1.87667 -1.72521 4.18351 -2.17759 -1.80079 0.492956 -1.79209 0.132869 4.18082 -2.269 1.43456 0.0621853 3.13589 -3.53182 
st	op	ed	phy
SITE: 35	37	38	0
SITE: 29	30	32	0
SITE: 34	36	38	0
SITE: 33	35	38	1
SITE: 29	32	33	1
SITE: 20	21	23	0
SITE: 12	14	15	1
SITE: 11	12	15	0
SITE: 6	8	9	1
SITE: 31	33	38	1
SITE: 29	31	38	1
SITE: 1	2	4	0
SITE: 29	38	39	1
SITE: 10	11	15	0
SITE: 49	50	52	0
SITE: 26	27	29	1
SITE: 49	52	53	0
SITE: 42	44	45	0
SITE: 6	9	10	1
SITE: 19	20	23	0
SITE: 42	45	46	1
SITE: 41	42	46	1
SITE: 60	62	63	0
SITE: 3	4	6	0
SITE: 1	3	6	0
SITE: 1	6	7	1
SITE: 46	48	49	1
SITE: 57	58	60	0
SITE: 25	26	29	1
SITE: 43	46	49	1
SITE: 7	13	15	0
SITE: 5	7	15	0
SITE: 1	5	15	1
SITE: 1	15	16	1
SITE: 18	22	23	0
SITE: 59	60	63	0
SITE: 25	29	34	0
SITE: 49	53	54	0
SITE: 47	49	54	1
SITE: 1	10	17	1
SITE: 1	16	18	1
SITE: 1	18	19	1
SITE: 1	17	23	1
SITE: 1	23	24	0
SITE: 57	59	63	1
SITE: 56	57	63	1
SITE: 55	56	63	0
SITE: 54	55	63	1
SITE: 51	54	63	1
SITE: 1	19	25	1
SITE: 0	1	25	0
SITE: 47	61	63	1
SITE: 43	47	63	1
SITE: 41	43	63	1
SITE: 40	51	63	1
SITE: 39	40	63	1
SITE: 34	41	63	1
SITE: 28	34	63	1
SITE: 25	28	63	1
SITE: 24	25	63	0
SITE: 0	63	63	0
SITE: 0	0	39	0
SITE: 24	24	39	1
SITE: 39	39	39	1
MPS Info: -16.283 0.431552 0.0386458 
Writing MPS done!
