LHHLHHLLLLHHHHHLHHLLLLHHHHHHHLHHLHHLHLHHLHHHLLLLHLLHHHHLHLHHLHLH
W_LIST: -2.22077 -0.531576 -1.48928 4.28301 2.1289 -0.93271 3.87394 -0.995428 -3.83269 -1.42959 -1.28052 1.05785 -4.23784 -0.779436 -1.1279 1.21659 1.80566 -0.728963 3.20046 0.913964 -0.662896 -0.170735 -2.09576 3.61695 -1.27612 1.3241 0.109192 1.71572 -2.6285 -1.22511 -0.0709322 2.63011 -2.05863 -1.13424 0.0668695 -2.0019 2.6989 -2.66568 -2.7531 3.96483 1.45381 0.450339 -0.706098 -3.24492 1.54964 3.80713 3.62577 0.246749 -0.0700896 -3.88403 -3.91758 1.84866 -2.285 -1.73784 -4.26509 -3.41823 -3.15471 -0.209678 -2.41399 0.630025 2.38392 -3.54394 0.386559 -2.51598 
st	op	ed	phy
SITE: 53	54	56	1
SITE: 43	45	46	1
SITE: 36	38	39	1
SITE: 49	50	52	0
SITE: 3	4	6	0
SITE: 51	52	55	1
SITE: 49	53	55	1
SITE: 49	55	56	0
SITE: 35	37	39	0
SITE: 2	3	6	1
SITE: 6	8	9	0
SITE: 35	36	40	0
SITE: 60	61	63	1
SITE: 22	23	25	0
SITE: 49	56	57	1
SITE: 49	51	58	0
SITE: 46	48	49	0
SITE: 12	14	15	1
SITE: 12	13	16	1
SITE: 11	12	16	1
SITE: 42	43	46	1
SITE: 33	35	39	0
SITE: 32	33	39	1
SITE: 31	32	39	0
SITE: 31	39	40	0
SITE: 28	29	31	0
SITE: 27	28	31	1
SITE: 46	49	57	0
SITE: 1	2	6	1
SITE: 0	0	6	0
SITE: 16	18	19	1
SITE: 46	57	58	0
SITE: 6	9	10	0
SITE: 6	10	11	1
SITE: 46	58	59	1
SITE: 46	47	60	1
SITE: 31	40	41	1
SITE: 44	46	60	1
SITE: 5	6	11	1
SITE: 59	60	63	1
SITE: 26	27	31	0
SITE: 25	30	31	0
SITE: 24	25	31	0
SITE: 22	26	31	0
SITE: 21	22	31	1
SITE: 31	34	42	0
SITE: 31	42	44	1
SITE: 20	24	31	1
SITE: 19	20	31	0
SITE: 17	19	31	1
SITE: 16	17	31	1
SITE: 15	16	31	0
SITE: 11	15	31	1
SITE: 7	11	31	0
SITE: 5	7	31	0
SITE: 5	31	41	0
SITE: 44	59	63	1
SITE: 41	44	63	1
SITE: 21	41	63	1
SITE: 5	62	63	1
SITE: 1	63	63	1
SITE: 1	5	21	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 21	21	21	0
MPS Info: 9.87213 0.422634 9.68636e-06 
Writing MPS done!
