LHLLHLLLHHHHLLLHLHHLLHHLLHLLLLHLHLLHLLLHLHLHHHLHHLLLLLLHHLHLHHLL
W_LIST: -0.719455 -3.49243 3.06079 -4.28225 -1.25925 3.61459 2.50876 -3.54955 2.55435 0.642721 -1.47467 1.9852 -0.8103 -0.59358 0.837087 -2.39458 1.86658 3.77061 -1.15562 4.26561 -0.627801 0.745251 2.03687 1.09171 -3.43434 -1.50645 2.80709 3.60637 -2.93862 -1.80803 -2.05929 3.64141 3.45033 0.685449 -0.603706 3.88219 -2.01841 3.76705 -0.0942226 -2.05738 -0.893925 -4.08242 -4.12799 -2.7265 -0.140542 -1.7121 1.98994 -2.09796 -0.128158 -2.54573 3.93392 -3.69452 -2.382 -4.29462 -4.00477 -0.741648 3.70399 -2.27143 -1.11884 -1.18081 3.52337 -1.22758 2.41968 -3.17982 
st	op	ed	phy
SITE: 51	53	54	0
SITE: 50	51	54	0
SITE: 5	7	8	0
SITE: 2	3	5	0
SITE: 40	42	43	0
SITE: 1	2	5	1
SITE: 1	5	6	1
SITE: 24	26	27	1
SITE: 24	27	28	1
SITE: 49	50	54	1
SITE: 16	17	19	0
SITE: 28	30	31	1
SITE: 28	31	32	1
SITE: 24	28	29	0
SITE: 60	62	63	1
SITE: 34	35	37	0
SITE: 1	6	8	1
SITE: 59	60	63	0
SITE: 54	56	57	0
SITE: 24	25	32	1
SITE: 23	24	32	0
SITE: 15	16	19	1
SITE: 0	1	8	1
SITE: 14	15	19	1
SITE: 39	41	43	1
SITE: 46	47	49	1
SITE: 22	29	32	0
SITE: 19	20	22	0
SITE: 19	22	23	0
SITE: 19	23	32	1
SITE: 18	19	32	1
SITE: 48	49	54	0
SITE: 36	37	39	1
SITE: 8	10	11	1
SITE: 58	61	63	1
SITE: 57	58	63	1
SITE: 52	54	57	0
SITE: 55	57	63	0
SITE: 32	33	36	1
SITE: 21	32	36	0
SITE: 4	8	11	0
SITE: 36	39	40	1
SITE: 36	40	43	0
SITE: 43	45	46	1
SITE: 34	36	43	0
SITE: 52	59	63	0
SITE: 21	34	43	0
SITE: 18	21	43	0
SITE: 48	52	63	0
SITE: 46	55	63	0
SITE: 44	46	63	1
SITE: 43	44	63	1
SITE: 38	43	63	1
SITE: 18	38	63	0
SITE: 14	18	63	1
SITE: 13	14	63	1
SITE: 12	13	63	0
SITE: 11	12	63	0
SITE: 9	11	63	0
SITE: 4	9	63	0
SITE: 0	63	63	0
SITE: 0	4	48	1
SITE: 0	0	48	0
SITE: 48	48	48	0
MPS Info: -17.3856 0.421998 0.697136 
Writing MPS done!
