LLLLLLHLHHHLHHHLLLHLHLHHHLLLHLHLHHLLHHHLLHLHLLHHHLHHHLHLHHLLHHHL
W_LIST: -1.29618 2.09544 1.44594 0.2846 3.2604 -2.33714 3.42581 -1.27486 1.20196 1.4935 2.36997 4.30357 3.42854 -0.128941 1.41956 -2.76252 -2.31114 2.02954 0.944158 3.98473 3.78994 3.03522 3.70845 -0.891398 -0.169891 0.077172 0.891818 4.00299 -3.71392 1.06466 -2.7002 1.83965 4.23274 -3.42534 -2.28014 -3.05758 -0.821668 -1.80112 -2.10704 0.207081 1.89673 1.90569 -4.02273 -1.43044 4.29401 -2.52019 2.23036 0.700251 4.05667 -3.52999 1.91267 -0.232475 -2.6245 2.30344 0.976057 -2.7102 -0.799246 1.23419 -2.21098 -1.37789 2.04198 -4.09669 -1.15753 3.82059 
st	op	ed	phy
SITE: 19	20	22	0
SITE: 32	33	35	1
SITE: 18	19	22	1
SITE: 42	44	45	1
SITE: 27	28	30	1
SITE: 9	11	12	1
SITE: 42	45	46	0
SITE: 46	48	49	0
SITE: 31	32	35	0
SITE: 60	61	63	1
SITE: 30	31	35	1
SITE: 41	42	46	0
SITE: 17	21	22	1
SITE: 4	6	7	0
SITE: 30	35	36	0
SITE: 27	30	34	1
SITE: 46	49	50	0
SITE: 14	15	17	0
SITE: 52	53	55	1
SITE: 59	60	63	0
SITE: 58	62	63	1
SITE: 40	41	46	0
SITE: 1	2	4	1
SITE: 10	12	14	0
SITE: 57	58	63	0
SITE: 1	4	5	1
SITE: 43	46	50	0
SITE: 47	50	52	0
SITE: 52	55	56	0
SITE: 16	17	22	1
SITE: 14	16	22	0
SITE: 0	1	5	1
SITE: 37	38	40	1
SITE: 37	40	43	1
SITE: 43	47	52	0
SITE: 26	27	34	1
SITE: 52	54	57	0
SITE: 9	10	14	0
SITE: 5	8	9	0
SITE: 14	22	23	0
SITE: 56	57	63	0
SITE: 52	59	63	0
SITE: 51	52	63	1
SITE: 34	37	39	1
SITE: 3	5	9	0
SITE: 43	51	63	1
SITE: 39	43	63	1
SITE: 36	39	63	0
SITE: 34	36	63	1
SITE: 29	34	63	0
SITE: 0	0	9	0
SITE: 7	9	14	0
SITE: 26	56	63	0
SITE: 25	26	63	1
SITE: 24	25	63	0
SITE: 23	24	63	0
SITE: 18	23	63	1
SITE: 14	29	63	1
SITE: 13	14	63	0
SITE: 7	13	63	0
SITE: 3	63	63	1
SITE: 3	3	18	0
SITE: 7	7	18	0
WARN: Unitary gate is identity
SITE: 18	18	18	0
MPS Info: -2.15504 1.08604 0.149163 
Writing MPS done!
