LLLLLHHHHHHHLHLLLLHHHHHHLLLHHLLLHLHHLLLLLLHHHLLLLHHHHHHHLHLHLLHL
W_LIST: 3.28404 0.158631 -2.12572 1.74372 4.13904 -1.57926 -4.01838 4.07278 -0.620203 0.395554 0.894278 -4.20187 -3.21687 -0.0979647 -2.58294 2.40895 -0.857656 4.2228 -1.22519 -1.23 -0.534214 0.301213 1.51055 -2.75561 -3.41626 2.49208 1.34147 -2.89856 -3.76561 -0.475829 -1.58826 3.45153 3.70757 -3.12206 0.494761 2.2531 -3.05122 -2.17233 -1.66389 2.09005 1.50544 -1.73644 -1.70638 1.54263 4.01231 3.7766 3.40106 0.309465 2.60366 -1.8636 1.77792 -1.15634 0.245998 3.32064 -3.31056 0.622562 1.7872 -1.9961 -0.551792 -3.12303 3.67522 2.0627 -0.818681 0.823287 
st	op	ed	phy
SITE: 4	6	7	1
SITE: 43	44	46	0
SITE: 30	32	33	0
SITE: 3	4	7	1
SITE: 11	12	14	0
SITE: 45	46	48	1
SITE: 25	27	28	1
SITE: 24	25	28	1
SITE: 23	24	28	0
SITE: 28	30	31	0
SITE: 28	31	33	1
SITE: 14	15	17	1
SITE: 14	17	18	1
SITE: 57	59	60	1
SITE: 11	14	16	0
SITE: 2	5	7	1
SITE: 35	36	38	0
SITE: 53	54	56	1
SITE: 41	43	45	0
SITE: 45	48	49	1
SITE: 45	49	50	1
SITE: 22	23	28	1
SITE: 35	38	39	0
SITE: 11	16	18	0
SITE: 40	41	45	0
SITE: 39	40	45	1
SITE: 57	60	61	1
SITE: 11	18	19	1
SITE: 2	7	8	0
SITE: 28	33	34	0
SITE: 28	34	35	0
SITE: 28	35	37	0
SITE: 28	37	39	0
SITE: 28	39	42	1
SITE: 28	42	45	1
SITE: 28	45	47	1
SITE: 53	56	57	1
SITE: 10	11	19	1
SITE: 0	0	3	1
SITE: 28	47	50	0
SITE: 28	50	51	0
SITE: 21	22	28	0
SITE: 53	57	58	1
SITE: 20	21	28	0
SITE: 19	26	28	1
SITE: 13	19	28	1
SITE: 10	13	28	0
SITE: 9	10	28	0
SITE: 28	51	52	1
SITE: 28	52	53	1
SITE: 20	28	53	1
SITE: 53	58	61	0
SITE: 53	61	62	1
SITE: 53	62	63	1
SITE: 2	3	9	1
SITE: 2	9	20	0
SITE: 1	2	20	0
SITE: 20	53	55	0
SITE: 20	55	63	1
SITE: 8	20	63	1
SITE: 1	63	63	1
SITE: 1	29	29	0
SITE: 1	1	8	1
WARN: Unitary gate is identity
SITE: 8	8	8	0
MPS Info: -3.86347 0.466648 0.664009 
Writing MPS done!
