HLLHLHLHLLLHLHLHLLLHHHHHHHHLHLHLHLHLHLHLHHHLHLLLLLLLLLLHLLHHLHLH
W_LIST: 0.631258 -0.835859 -2.33882 -2.58951 3.36596 -1.71117 2.83836 0.646918 -2.22499 1.75572 -2.46502 0.81091 0.167885 -2.77237 -3.0164 -4.61558 4.41624 2.11136 -0.944226 0.288468 -1.07853 2.71356 4.45783 -0.902996 -3.7739 -0.194337 0.010287 3.92397 0.397479 1.63923 -4.24397 -4.58369 2.60592 -1.51157 3.94155 1.87104 2.27387 1.66231 -2.66422 -1.42824 -1.97096 4.14736 3.77272 -2.67226 0.611339 2.48935 -3.93308 -3.30148 -2.57799 3.64381 4.19499 3.73741 -4.55667 -0.124459 2.02155 2.64911 2.91778 -3.6298 -3.64518 -2.22982 3.13818 3.1547 -2.09528 -2.01492 
st	op	ed	phy
SITE: 49	50	52	1
SITE: 13	15	16	1
SITE: 48	51	52	1
SITE: 47	49	52	1
SITE: 46	47	52	0
SITE: 45	46	52	0
SITE: 29	31	32	0
SITE: 55	57	58	0
SITE: 40	41	43	0
SITE: 30	32	34	0
SITE: 56	58	60	1
SITE: 56	60	61	1
SITE: 55	56	61	1
SITE: 13	16	17	1
SITE: 21	22	24	0
SITE: 3	4	6	1
SITE: 30	34	35	0
SITE: 42	43	45	0
SITE: 44	45	52	1
SITE: 42	48	52	0
SITE: 40	42	52	0
SITE: 2	3	6	1
SITE: 27	29	30	1
SITE: 59	61	63	0
SITE: 27	30	33	1
SITE: 24	25	27	1
SITE: 24	27	28	1
SITE: 20	21	24	0
SITE: 52	54	55	1
SITE: 52	55	59	0
SITE: 52	59	62	1
SITE: 52	62	63	0
SITE: 35	36	38	0
SITE: 35	38	39	1
SITE: 39	40	52	1
SITE: 37	39	52	0
SITE: 35	37	52	1
SITE: 35	52	53	0
SITE: 13	14	18	0
SITE: 1	2	6	0
SITE: 5	6	8	1
SITE: 8	10	11	0
SITE: 5	8	9	0
SITE: 5	9	11	1
SITE: 24	26	33	1
SITE: 24	28	35	1
SITE: 24	35	44	1
SITE: 24	44	53	0
SITE: 24	53	63	0
SITE: 23	24	63	1
SITE: 11	13	17	1
SITE: 5	11	12	0
SITE: 5	7	17	0
SITE: 5	17	18	1
SITE: 5	18	19	0
SITE: 5	19	20	0
SITE: 0	5	12	1
SITE: 20	23	63	1
SITE: 12	33	63	0
SITE: 1	12	63	1
SITE: 0	63	63	1
SITE: 0	0	20	0
SITE: 1	20	20	1
SITE: 1	1	1	0
MPS Info: -10.0487 0.92002 0.0096628 
Writing MPS done!
