HHLLHHLLLLHLHHHHHLHLHLHHHLLLLLHLHHLHLHLLLLLHLLLHHHHLLHLHLHLLHHLL
W_LIST: -3.46717 -1.55442 4.45267 -1.67187 -1.49128 -4.26637 -1.06466 3.8679 3.71933 3.18796 -4.34549 0.473126 -3.91331 -0.972186 -2.62369 -2.3131 -4.31376 -0.906183 3.4631 -4.52777 -0.738597 2.26572 -2.11387 2.59774 3.28176 0.349196 -1.81816 3.59665 -2.60632 -4.00691 4.45693 -4.10835 0.0452644 -2.52626 -2.55358 2.94384 3.18247 -1.27082 4.44941 -3.83888 3.24906 -2.47653 -1.41145 2.34915 2.8804 -4.36947 -1.13757 1.94783 -3.14044 -2.03357 -3.63607 -3.35336 3.82379 3.07081 4.54307 0.614216 4.11058 4.36026 -0.420529 -1.1294 -4.46525 -2.36929 -1.04269 0.875222 
st	op	ed	phy
SITE: 28	30	31	0
SITE: 7	8	10	1
SITE: 51	52	54	1
SITE: 50	51	54	0
SITE: 38	39	41	0
SITE: 54	56	57	1
SITE: 27	29	31	0
SITE: 36	38	40	1
SITE: 16	18	19	0
SITE: 49	50	54	1
SITE: 48	53	54	0
SITE: 47	48	54	1
SITE: 49	54	57	1
SITE: 2	3	5	0
SITE: 1	2	5	1
SITE: 35	36	40	1
SITE: 34	37	40	1
SITE: 33	35	40	0
SITE: 9	10	12	1
SITE: 33	40	41	1
SITE: 15	16	19	1
SITE: 42	44	45	1
SITE: 26	27	31	1
SITE: 41	43	45	0
SITE: 34	41	45	0
SITE: 5	7	9	1
SITE: 33	34	45	0
SITE: 0	0	5	1
SITE: 12	14	15	1
SITE: 21	23	24	0
SITE: 57	59	60	0
SITE: 57	60	61	1
SITE: 45	47	49	0
SITE: 12	15	17	1
SITE: 12	13	19	1
SITE: 12	19	20	0
SITE: 24	26	28	0
SITE: 24	28	31	0
SITE: 22	24	31	0
SITE: 21	22	31	1
SITE: 1	5	6	1
SITE: 6	9	12	1
SITE: 45	49	55	1
SITE: 45	55	57	1
SITE: 42	45	57	0
SITE: 57	61	62	1
SITE: 25	31	33	0
SITE: 4	6	12	0
SITE: 1	1	12	1
SITE: 12	17	21	0
SITE: 12	21	25	1
SITE: 12	25	32	1
SITE: 12	32	33	0
SITE: 12	33	42	1
SITE: 57	62	63	0
SITE: 4	12	20	1
SITE: 46	57	63	0
SITE: 4	4	42	1
SITE: 42	58	63	1
SITE: 20	42	63	0
SITE: 11	63	63	1
SITE: 11	20	46	1
WARN: Unitary gate is identity
SITE: 11	11	11	0
WARN: Unitary gate is identity
SITE: 46	46	46	0
MPS Info: -5.6249 0.60212 0.0217722 
Writing MPS done!
