HHHHHLLHHHHHHLLHHHHLLLLLHLLHHHLLHLHLHHLLLLHLHHLLHLLHHLLLHHHHLHLH
W_LIST: 2.0007 1.51233 2.24108 3.03911 1.34554 -1.81944 2.86073 2.4935 -2.16376 -0.356919 0.21004 0.972138 2.59106 -0.872176 3.09368 -4.25629 0.379018 -3.14493 -3.54094 -2.72423 3.94029 2.75862 0.109922 -3.42111 2.12041 -1.17394 -0.366404 -0.0459807 -2.7732 0.339412 -1.27302 1.09583 -1.65033 -1.54707 -2.91442 1.45011 -4.01594 -2.46933 -3.43984 2.24053 1.98572 4.40436 -3.2528 2.62812 1.97091 -2.67941 2.64218 0.686123 1.48832 3.34658 -4.07113 2.98382 3.77159 -2.96501 0.023157 2.0545 3.14129 3.25082 -4.3836 2.55618 0.80789 -1.12284 0.0513426 0.518008 
st	op	ed	phy
SITE: 49	50	52	0
SITE: 49	52	53	0
SITE: 56	58	59	1
SITE: 17	18	20	1
SITE: 17	20	21	1
SITE: 15	17	19	1
SITE: 40	41	43	1
SITE: 36	38	39	0
SITE: 14	15	19	1
SITE: 48	49	53	1
SITE: 42	43	45	1
SITE: 42	45	46	1
SITE: 34	36	37	1
SITE: 37	39	42	1
SITE: 55	56	59	0
SITE: 5	6	8	1
SITE: 19	21	23	1
SITE: 19	23	24	0
SITE: 2	3	5	0
SITE: 35	37	42	1
SITE: 34	35	42	1
SITE: 33	34	42	1
SITE: 51	53	55	0
SITE: 51	55	57	1
SITE: 51	57	59	0
SITE: 32	33	42	0
SITE: 2	5	7	0
SITE: 2	4	8	0
SITE: 1	2	8	0
SITE: 46	48	51	0
SITE: 42	46	47	1
SITE: 42	44	51	0
SITE: 40	42	51	1
SITE: 0	0	8	0
SITE: 19	24	25	0
SITE: 13	14	19	1
SITE: 12	13	19	0
SITE: 11	12	19	0
SITE: 51	59	60	0
SITE: 1	8	9	1
SITE: 28	30	31	0
SITE: 28	31	32	1
SITE: 51	60	61	1
SITE: 51	61	62	1
SITE: 10	11	19	0
SITE: 32	40	51	1
SITE: 29	32	51	1
SITE: 28	29	51	0
SITE: 27	28	51	1
SITE: 9	10	19	0
SITE: 7	9	19	1
SITE: 1	1	19	0
SITE: 7	19	22	0
SITE: 26	27	51	1
SITE: 25	26	51	0
SITE: 51	62	63	0
SITE: 47	51	63	0
SITE: 7	7	25	0
SITE: 25	54	63	1
SITE: 22	25	63	0
SITE: 16	63	63	0
SITE: 16	47	47	1
SITE: 16	16	22	1
SITE: 22	22	22	1
MPS Info: 10.4329 0.790454 0.0130854 
Writing MPS done!
