HLHLLHHHLLLLHHLHHLLLLLLHHHHHHLLHLLHLLHHHHHLHLLLHHLHHHHHLHHLLLHLL
W_LIST: 2.7124 0.557734 -3.18345 1.08572 -1.39687 -2.66336 3.85469 1.9192 -3.97455 -3.12085 1.90221 -1.02167 2.03041 -1.12065 2.72252 -1.7589 -1.12992 2.96108 -0.987221 -3.71351 -0.688023 3.2012 2.4894 3.45113 0.806525 1.99112 2.28555 2.84299 -1.75971 2.79142 1.55373 -2.41686 -3.10967 3.02987 -3.82613 1.46748 -0.671955 2.33837 -0.274492 3.31024 -1.59642 -0.48027 1.39029 -1.44842 -2.92527 2.08038 -3.79119 -2.71802 2.72709 -1.13939 -1.87629 -2.34388 0.764902 1.23909 3.49882 1.73957 3.63509 1.58375 0.311635 -0.848064 -2.92051 -2.93342 3.97471 -3.56 
st	op	ed	phy
SITE: 60	62	63	1
SITE: 6	8	9	0
SITE: 31	32	34	0
SITE: 44	46	47	0
SITE: 5	6	9	0
SITE: 59	61	63	1
SITE: 30	33	34	1
SITE: 29	31	34	1
SITE: 44	45	48	1
SITE: 54	56	57	0
SITE: 28	29	34	1
SITE: 19	21	22	1
SITE: 27	28	34	1
SITE: 19	22	23	1
SITE: 43	44	48	0
SITE: 26	27	34	0
SITE: 34	35	37	1
SITE: 25	26	34	0
SITE: 5	7	10	0
SITE: 16	17	19	1
SITE: 18	19	23	0
SITE: 34	37	38	0
SITE: 34	36	39	0
SITE: 34	39	40	0
SITE: 53	54	57	0
SITE: 58	60	63	0
SITE: 24	25	34	0
SITE: 23	24	34	0
SITE: 20	23	34	0
SITE: 48	50	51	1
SITE: 47	48	51	0
SITE: 2	3	5	1
SITE: 2	5	9	1
SITE: 2	9	10	0
SITE: 2	10	11	1
SITE: 2	4	12	0
SITE: 0	2	11	1
SITE: 12	14	15	1
SITE: 11	12	15	0
SITE: 51	53	55	0
SITE: 51	55	57	1
SITE: 57	59	63	0
SITE: 52	57	63	0
SITE: 51	58	63	1
SITE: 49	51	63	1
SITE: 47	49	63	0
SITE: 43	47	63	1
SITE: 42	43	63	1
SITE: 34	40	41	1
SITE: 34	41	42	1
SITE: 18	20	34	0
SITE: 16	18	34	0
SITE: 15	16	34	1
SITE: 13	15	34	1
SITE: 11	13	34	1
SITE: 11	34	38	1
SITE: 38	42	63	1
SITE: 30	52	63	0
SITE: 11	38	63	0
SITE: 1	11	63	0
SITE: 0	63	63	0
SITE: 0	0	30	0
WARN: Unitary gate is identity
SITE: 30	30	30	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: 4.37444 0.488591 0.289439 
Writing MPS done!
