HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 3.1747 -3.02067 -1.78235 3.78156 0.226493 -1.26311 -1.89902 3.79937 0.658869 2.85061 -0.824236 -0.736114 -2.24749 -1.06342 3.32759 -0.204214 1.55551 -0.986704 3.00475 2.65189 -0.677216 -1.85008 -1.57138 0.00686441 2.80861 -1.54716 3.11631 -1.90816 -1.8552 -0.0547483 3.60812 0.561217 3.92004 3.5902 1.30071 3.27937 3.20878 1.65253 0.544253 -1.21085 -2.31936 0.790628 -2.33008 -3.95545 -3.44573 -2.28582 -1.62825 -3.44002 0.0425384 1.93938 -2.12525 3.94921 -1.93163 3.11845 3.57898 -0.102896 0.413749 3.61554 3.37711 3.92766 0.0970238 0.446516 -3.39924 -1.09775 
st	op	ed	phy
SITE: 51	53	54	1
SITE: 30	32	33	0
SITE: 33	35	36	0
SITE: 42	43	45	0
SITE: 50	51	54	0
SITE: 0	1	3	1
SITE: 33	36	37	1
SITE: 30	33	34	1
SITE: 56	57	59	0
SITE: 44	45	47	1
SITE: 42	44	47	1
SITE: 6	7	9	1
SITE: 24	26	27	1
SITE: 24	27	28	0
SITE: 0	3	4	0
SITE: 58	59	61	1
SITE: 49	52	54	0
SITE: 30	34	37	1
SITE: 16	18	19	1
SITE: 14	16	17	1
SITE: 14	17	19	0
SITE: 58	61	62	1
SITE: 58	62	63	0
SITE: 46	47	49	0
SITE: 12	14	15	1
SITE: 9	10	12	0
SITE: 9	12	13	0
SITE: 30	31	38	0
SITE: 25	28	30	0
SITE: 24	25	30	0
SITE: 24	30	37	1
SITE: 5	6	9	0
SITE: 54	56	58	0
SITE: 50	54	58	0
SITE: 49	50	58	1
SITE: 21	22	24	1
SITE: 20	21	24	1
SITE: 19	20	24	1
SITE: 15	19	24	1
SITE: 9	13	15	1
SITE: 0	0	5	0
SITE: 40	42	46	1
SITE: 37	39	40	0
SITE: 24	37	38	1
SITE: 24	29	40	0
SITE: 24	40	41	0
SITE: 24	41	46	0
SITE: 49	58	60	1
SITE: 8	9	15	0
SITE: 11	15	24	1
SITE: 23	24	46	0
SITE: 38	46	49	0
SITE: 2	2	8	1
SITE: 49	60	63	0
SITE: 48	49	63	0
SITE: 4	4	11	1
SITE: 5	5	23	1
SITE: 38	48	63	0
SITE: 8	11	38	1
SITE: 23	38	63	0
SITE: 8	63	63	0
SITE: 8	8	55	0
SITE: 23	55	55	1
WARN: Unitary gate is identity
SITE: 23	23	23	0
MPS Info: -9.99105 0.982869 0.687476 
Writing MPS done!
