LHHLHHHHLLLHLLHHHLLHLLLLHLHLLHHLHHLLLLHHHLLLLHLLHLLLLLLLLHHHHHHH
W_LIST: 0.628117 1.15412 -2.79592 -4.40806 0.916476 3.24237 -3.29154 -4.61471 1.96441 0.352389 -1.71988 4.1618 -0.29049 -2.52277 -1.92683 -3.66049 3.48697 -4.98866 -3.83597 -2.19391 4.21881 -0.808287 1.7454 2.5966 2.36964 -2.98768 -1.23884 -1.35453 -0.626975 1.61853 -2.9056 -3.4923 2.65077 4.61758 -1.38383 -3.9881 -1.415 4.79331 -4.43396 -4.87049 0.2175 3.14817 -0.512669 -4.80171 -5.19558 -3.96541 -1.32048 -1.29377 -1.3745 -3.60141 1.97834 -4.3981 1.55655 -0.176252 -2.10985 -1.84829 4.1616 2.87092 -1.42889 3.57064 -4.87327 4.58032 4.69434 -1.06654 
st	op	ed	phy
SITE: 59	60	62	1
SITE: 15	17	18	0
SITE: 36	37	39	1
SITE: 35	38	39	1
SITE: 43	44	46	0
SITE: 30	31	33	0
SITE: 16	18	20	0
SITE: 15	16	20	0
SITE: 58	61	62	0
SITE: 5	7	8	1
SITE: 32	33	35	0
SITE: 57	59	62	0
SITE: 56	57	62	0
SITE: 55	56	62	1
SITE: 3	5	6	0
SITE: 34	35	39	0
SITE: 2	3	6	0
SITE: 49	51	52	0
SITE: 41	43	45	0
SITE: 14	15	20	1
SITE: 13	14	20	1
SITE: 54	55	62	0
SITE: 13	20	21	1
SITE: 32	36	39	0
SITE: 30	32	39	0
SITE: 11	13	19	0
SITE: 22	23	25	1
SITE: 48	49	52	0
SITE: 29	30	39	1
SITE: 39	41	42	1
SITE: 39	42	45	0
SITE: 39	45	46	1
SITE: 2	6	8	1
SITE: 10	11	19	0
SITE: 54	62	63	0
SITE: 39	46	47	0
SITE: 28	29	39	0
SITE: 24	25	27	0
SITE: 27	34	39	0
SITE: 26	27	39	0
SITE: 24	28	39	1
SITE: 22	24	39	0
SITE: 39	47	48	0
SITE: 39	40	50	1
SITE: 39	50	52	1
SITE: 39	52	53	1
SITE: 21	22	39	1
SITE: 19	21	39	0
SITE: 12	19	39	1
SITE: 39	53	54	0
SITE: 10	12	39	1
SITE: 9	10	39	0
SITE: 8	9	39	1
SITE: 4	8	39	1
SITE: 2	4	39	0
SITE: 1	2	39	1
SITE: 0	1	39	0
SITE: 39	54	58	0
SITE: 39	58	63	1
SITE: 0	39	48	1
SITE: 0	0	63	1
SITE: 26	63	63	1
WARN: Unitary gate is identity
SITE: 26	26	26	1
WARN: Unitary gate is identity
SITE: 48	48	48	1
MPS Info: -3.2105 1.16719 0.0230085 
Writing MPS done!
