LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.175697 -0.517363 -4.90454 -0.232765 3.54649 1.11565 1.95932 3.49067 4.809 -0.256111 4.11221 -0.410114 4.44478 -1.30261 0.313418 -2.4947 -3.2198 -3.87542 -4.00723 -5.06351 4.44921 -1.90146 0.449662 3.78493 2.41415 -3.80372 -4.84704 3.95102 -2.66293 4.89827 -1.74596 -3.95975 3.28407 -4.75609 1.32048 2.66126 -3.95767 0.831169 2.36168 -5.31996 -4.53552 -1.73628 -5.21091 -4.95156 5.02831 -1.1128 2.15355 4.63306 -5.30906 -1.92209 -3.3295 1.85064 -2.6336 -2.7483 -0.400782 1.51025 -0.55733 3.54876 -0.0328689 -1.21091 -4.49942 2.02064 -3.27815 -1.87132 
st	op	ed	phy
SITE: 17	19	20	0
SITE: 41	42	44	1
SITE: 40	43	44	0
SITE: 39	40	44	0
SITE: 26	27	29	1
SITE: 25	26	29	0
SITE: 16	17	20	0
SITE: 38	39	44	1
SITE: 47	48	50	0
SITE: 44	46	47	0
SITE: 41	44	47	1
SITE: 29	31	32	1
SITE: 29	32	33	1
SITE: 28	29	33	1
SITE: 25	28	33	0
SITE: 24	25	33	0
SITE: 23	24	33	0
SITE: 23	33	34	1
SITE: 7	8	10	0
SITE: 15	16	20	0
SITE: 47	50	51	1
SITE: 20	21	23	0
SITE: 20	23	30	0
SITE: 18	20	30	1
SITE: 60	62	63	0
SITE: 47	49	52	1
SITE: 47	52	53	0
SITE: 41	47	51	0
SITE: 10	12	13	0
SITE: 4	6	7	0
SITE: 5	7	10	0
SITE: 2	4	5	1
SITE: 30	35	36	0
SITE: 57	59	60	0
SITE: 57	60	61	0
SITE: 36	38	41	1
SITE: 22	30	36	0
SITE: 57	61	63	1
SITE: 18	22	36	1
SITE: 15	18	36	1
SITE: 41	51	53	1
SITE: 34	36	41	0
SITE: 0	2	3	0
SITE: 55	57	58	1
SITE: 10	13	14	1
SITE: 10	11	15	1
SITE: 10	15	34	1
SITE: 37	41	53	1
SITE: 10	34	37	0
SITE: 10	37	45	0
SITE: 10	45	53	1
SITE: 9	10	53	1
SITE: 53	55	56	1
SITE: 53	56	58	0
SITE: 53	54	63	0
SITE: 14	53	63	1
SITE: 0	0	5	0
SITE: 1	1	9	1
SITE: 9	58	63	1
SITE: 5	9	63	0
SITE: 3	63	63	0
SITE: 3	5	14	0
SITE: 3	14	14	0
SITE: 3	3	3	0
MPS Info: -22.1087 0.577079 0.00387849 
Writing MPS done!
