HLLHLLLHHLLHLLHLHHLHHLLLLHHLHLHLLLLLHLLHLHLHLLHHLLHHHLHLLLHHHLHL
W_LIST: 0.0113562 -4.44434 -4.37419 2.49506 -1.16946 1.29131 4.1044 3.32078 -3.94899 2.86625 1.79466 3.54718 -4.92514 -2.43811 -2.56388 4.62279 -0.085697 0.254933 1.41157 -0.0148289 3.9441 -4.44415 -3.28669 -3.25884 -0.279681 1.62015 -2.20059 4.66827 -0.468787 -4.92398 4.70631 3.00133 3.69953 3.63127 2.29329 3.99397 3.82169 -4.64616 4.81713 1.08241 1.1077 1.36463 4.16953 -1.37063 -4.22333 1.73785 -3.94241 -0.311164 2.06629 2.77311 2.16705 -1.99216 4.83085 -2.51454 -2.07943 0.569234 -2.06938 0.153428 4.82773 -2.62009 1.65653 0.0718075 3.62112 -4.07832 
st	op	ed	phy
SITE: 35	37	38	0
SITE: 29	30	32	0
SITE: 34	36	38	0
SITE: 33	35	38	1
SITE: 29	32	33	1
SITE: 20	21	23	0
SITE: 12	14	15	1
SITE: 11	12	15	0
SITE: 6	8	9	1
SITE: 31	33	38	1
SITE: 29	31	38	1
SITE: 1	2	4	0
SITE: 29	38	39	1
SITE: 10	11	15	0
SITE: 26	27	29	1
SITE: 49	51	52	1
SITE: 42	44	45	0
SITE: 6	9	10	1
SITE: 49	52	53	0
SITE: 42	45	46	1
SITE: 41	42	46	1
SITE: 60	62	63	0
SITE: 20	23	24	0
SITE: 3	4	6	0
SITE: 1	3	6	0
SITE: 1	6	7	1
SITE: 46	48	49	1
SITE: 57	58	60	0
SITE: 25	26	29	1
SITE: 7	13	15	0
SITE: 46	49	50	1
SITE: 5	7	15	0
SITE: 1	5	15	1
SITE: 1	15	16	1
SITE: 18	20	22	0
SITE: 46	50	53	0
SITE: 46	53	54	0
SITE: 43	46	54	1
SITE: 59	60	63	0
SITE: 25	29	34	0
SITE: 1	10	17	1
SITE: 1	16	18	1
SITE: 57	59	63	1
SITE: 56	61	63	1
SITE: 55	56	63	0
SITE: 54	55	63	1
SITE: 47	54	63	1
SITE: 43	47	63	1
SITE: 41	43	63	1
SITE: 1	18	19	1
SITE: 1	17	22	1
SITE: 0	1	22	0
SITE: 40	57	63	1
SITE: 39	40	63	1
SITE: 34	41	63	1
SITE: 28	34	63	1
SITE: 25	28	63	1
SITE: 24	25	63	0
SITE: 22	24	63	1
SITE: 19	22	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 19	19	19	1
WARN: Unitary gate is identity
SITE: 39	39	39	0
MPS Info: -19.3114 0.328643 0.0258964 
Writing MPS done!
