HLHHLHHHHLLLLHLHLLHLHLHHHLHHHHLHLHHLHLHLHLLHHLLHHLHHLHHLLLLHLLLL
W_LIST: -3.89631 2.29118 4.55084 -4.50726 2.89629 -4.82239 -3.40873 4.10387 2.45095 0.314054 -2.59959 -3.42425 4.89589 0.173029 0.0427744 0.555104 2.43675 -4.86271 -1.45493 0.406698 -0.56284 -4.90855 1.44041 -0.403303 -3.93444 -4.81369 -4.29716 2.89719 -4.82575 -4.78028 -1.56206 -1.12402 -0.570217 -0.803474 -3.79446 1.66116 -4.11966 4.06233 2.17237 -0.191963 -1.8763 4.34936 -0.572254 -0.753812 2.03088 2.52998 4.74206 -3.25268 -0.416205 3.24187 0.808219 0.130201 -3.19862 3.23126 -3.422 1.50654 -4.04295 -2.146 4.69022 0.272352 -0.668419 -0.71843 2.18492 3.26194 
st	op	ed	phy
SITE: 25	26	28	1
SITE: 2	3	5	1
SITE: 25	28	29	1
SITE: 24	25	29	0
SITE: 4	5	7	1
SITE: 2	6	7	1
SITE: 34	36	37	1
SITE: 44	46	47	1
SITE: 55	56	58	0
SITE: 0	2	4	0
SITE: 0	0	7	1
SITE: 52	54	55	1
SITE: 24	29	30	1
SITE: 9	11	12	0
SITE: 34	37	38	1
SITE: 53	55	58	1
SITE: 52	53	58	0
SITE: 21	22	24	0
SITE: 8	10	12	0
SITE: 7	8	12	0
SITE: 4	7	12	0
SITE: 1	1	12	1
SITE: 21	24	27	1
SITE: 51	52	58	0
SITE: 16	17	19	0
SITE: 4	12	13	1
SITE: 45	47	49	1
SITE: 38	40	41	1
SITE: 50	57	58	0
SITE: 49	50	58	0
SITE: 48	49	58	1
SITE: 45	48	58	1
SITE: 44	45	58	1
SITE: 43	44	58	0
SITE: 21	27	30	0
SITE: 21	30	31	0
SITE: 58	60	61	0
SITE: 58	59	62	0
SITE: 58	62	63	1
SITE: 51	58	63	1
SITE: 33	34	38	1
SITE: 18	19	21	1
SITE: 16	18	21	1
SITE: 15	16	21	1
SITE: 35	38	41	0
SITE: 14	20	21	1
SITE: 13	14	21	1
SITE: 9	15	21	1
SITE: 4	4	21	1
SITE: 9	21	23	0
SITE: 33	35	41	1
SITE: 32	33	41	1
SITE: 41	43	51	1
SITE: 41	42	61	0
SITE: 41	61	63	0
SITE: 39	41	63	1
SITE: 32	51	63	0
SITE: 31	32	63	0
SITE: 23	39	63	0
SITE: 13	23	63	1
SITE: 9	63	63	1
SITE: 9	9	31	1
SITE: 13	13	31	1
WARN: Unitary gate is identity
SITE: 31	31	31	0
MPS Info: 0.529093 0.451895 4.15638e-05 
Writing MPS done!
