HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -0.679819 0.0343906 4.64933 -1.04969 -3.8384 -0.550801 1.55584 1.16467 0.311077 -5.51769 -5.75673 3.82828 0.50668 -3.01158 -3.98427 3.21533 -4.13097 -5.77241 -4.29406 2.4341 4.71671 2.24393 2.14713 1.25579 -3.33875 -4.74841 -3.88684 0.728644 -0.419302 -1.63952 2.56598 -0.86552 5.89487 3.51703 -4.93831 2.07493 -1.23508 -4.54663 4.55244 -3.91949 2.41365 -0.268788 -1.41601 2.11579 -4.28731 -3.36528 4.02468 0.709612 -5.49364 -1.29042 2.9739 0.169766 -2.15818 -5.83649 -2.61556 3.44679 2.34875 -2.86358 1.19506 1.6923 -2.53846 -4.98374 3.40626 3.41264 
st	op	ed	phy
SITE: 15	17	18	0
SITE: 32	34	35	1
SITE: 9	10	12	1
SITE: 37	38	40	1
SITE: 14	16	18	1
SITE: 60	61	63	1
SITE: 53	55	56	0
SITE: 43	44	46	1
SITE: 45	46	48	1
SITE: 15	18	20	0
SITE: 14	15	20	1
SITE: 13	14	20	0
SITE: 53	56	57	1
SITE: 52	53	57	1
SITE: 23	25	26	0
SITE: 36	37	40	0
SITE: 30	32	33	0
SITE: 9	11	13	1
SITE: 13	20	21	0
SITE: 43	45	48	0
SITE: 9	13	19	1
SITE: 9	19	21	1
SITE: 59	60	63	0
SITE: 9	21	22	1
SITE: 48	50	51	1
SITE: 48	49	52	0
SITE: 48	52	54	0
SITE: 48	54	57	0
SITE: 33	35	39	1
SITE: 33	39	40	1
SITE: 2	4	5	0
SITE: 48	57	58	1
SITE: 58	62	63	0
SITE: 6	7	9	1
SITE: 9	22	23	0
SITE: 9	23	24	1
SITE: 9	24	26	1
SITE: 9	26	27	1
SITE: 29	30	33	0
SITE: 48	58	59	1
SITE: 48	59	63	1
SITE: 47	48	63	1
SITE: 5	6	9	1
SITE: 3	5	9	1
SITE: 2	3	9	1
SITE: 1	2	9	0
SITE: 0	0	9	1
SITE: 33	40	41	0
SITE: 9	27	28	0
SITE: 9	12	29	1
SITE: 8	9	29	1
SITE: 33	36	42	0
SITE: 33	42	43	0
SITE: 43	47	63	1
SITE: 41	43	63	0
SITE: 33	41	63	1
SITE: 31	33	63	0
SITE: 29	51	63	0
SITE: 28	29	63	0
SITE: 8	28	63	0
SITE: 1	63	63	0
SITE: 1	8	31	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 31	31	31	0
MPS Info: 8.12522 0.441907 1.46646e-06 
Writing MPS done!
