LHHLHHHHLLLHLLHHHLLHLLLLHLHLLHHLHHLLLLHHHLLLLHLLHLLLLLLLLHHHHHHH
W_LIST: 0.707074 1.29919 -3.14738 -4.96217 1.03168 3.64994 -3.70529 -5.1948 2.21135 0.396685 -1.93608 4.68495 -0.327006 -2.83989 -2.16904 -4.12063 3.9253 -5.61576 -4.31816 -2.46969 4.74913 -0.909891 1.96481 2.923 2.66751 -3.36324 -1.39456 -1.5248 -0.705787 1.82198 -3.27084 -3.9313 2.98399 5.19803 -1.55778 -4.48942 -1.59287 5.39584 -4.99132 -5.48273 0.24484 3.54391 -0.577113 -5.4053 -5.84868 -4.46388 -1.48647 -1.45641 -1.54728 -4.05412 2.22702 -4.95096 1.75221 -0.198408 -2.37507 -2.08062 4.68473 3.2318 -1.6085 4.01948 -5.48586 5.15608 5.28443 -1.2006 
st	op	ed	phy
SITE: 59	60	62	1
SITE: 15	17	18	0
SITE: 36	37	39	1
SITE: 35	38	39	1
SITE: 43	44	46	0
SITE: 30	31	33	0
SITE: 16	18	20	0
SITE: 15	16	20	0
SITE: 58	61	62	0
SITE: 5	7	8	1
SITE: 32	33	35	0
SITE: 57	59	62	0
SITE: 56	57	62	0
SITE: 55	56	62	1
SITE: 3	5	6	0
SITE: 34	35	39	0
SITE: 2	3	6	0
SITE: 49	51	52	0
SITE: 41	43	45	0
SITE: 14	15	20	1
SITE: 13	14	20	1
SITE: 54	55	62	0
SITE: 32	36	39	0
SITE: 30	32	39	0
SITE: 13	20	21	1
SITE: 11	13	19	0
SITE: 22	23	25	1
SITE: 48	49	52	0
SITE: 29	30	39	1
SITE: 34	39	41	1
SITE: 2	6	8	1
SITE: 10	11	19	0
SITE: 54	62	63	0
SITE: 41	45	46	1
SITE: 24	25	27	0
SITE: 47	50	52	1
SITE: 1	2	8	1
SITE: 19	21	24	0
SITE: 41	46	47	0
SITE: 19	24	26	0
SITE: 29	34	41	0
SITE: 28	29	41	0
SITE: 27	40	41	1
SITE: 26	27	41	0
SITE: 41	47	48	0
SITE: 41	42	52	0
SITE: 41	52	53	1
SITE: 4	8	10	1
SITE: 41	53	54	0
SITE: 41	54	58	0
SITE: 10	19	22	1
SITE: 22	28	41	1
SITE: 12	22	41	1
SITE: 10	26	41	1
SITE: 9	10	41	0
SITE: 4	12	41	1
SITE: 1	4	41	0
SITE: 0	1	41	0
SITE: 41	58	63	1
SITE: 0	41	48	1
SITE: 0	0	63	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 9	9	9	1
WARN: Unitary gate is identity
SITE: 48	48	48	1
MPS Info: -3.44773 0.992211 0.017359 
Writing MPS done!
