HLHLHHLHLHHLLHHLHLLLHLLHHLLLHLLLHHHHHHLHLHLLLHLLLLLHLLLLLLLLHLLL
W_LIST: 1.18911 0.682404 -1.31777 -4.17451 -3.13763 5.45663 -3.05553 -2.43001 -4.68622 5.62607 -3.55021 0.395007 4.16982 -1.29466 2.16805 1.85575 4.43173 -4.20592 -4.53505 1.3962 5.04091 -5.2943 0.323858 5.92792 -3.27612 -2.89668 -2.96404 2.19424 -3.28416 -3.02449 4.19774 4.47672 0.786002 -3.67294 4.867 -3.56856 -4.81295 -1.12187 5.11479 4.44805 4.72554 1.85816 -5.02705 -1.09507 4.09901 -2.35128 -3.0869 3.04944 -2.03007 -4.9274 -4.49492 -3.03745 0.945734 2.54431 -0.210673 -3.82731 1.7086 -1.90977 -2.84056 0.964046 3.9876 0.414459 -1.81206 5.28021 
st	op	ed	phy
SITE: 33	34	36	0
SITE: 20	21	23	0
SITE: 7	9	10	0
SITE: 38	40	41	1
SITE: 3	5	6	0
SITE: 17	18	20	0
SITE: 16	17	20	0
SITE: 20	23	24	0
SITE: 36	38	39	1
SITE: 28	30	31	1
SITE: 47	49	50	0
SITE: 15	16	20	0
SITE: 27	29	31	0
SITE: 44	46	47	0
SITE: 33	36	37	1
SITE: 20	24	25	1
SITE: 20	25	26	0
SITE: 20	26	27	0
SITE: 20	27	28	1
SITE: 20	28	31	1
SITE: 19	20	31	0
SITE: 6	8	10	0
SITE: 42	44	45	1
SITE: 42	45	47	1
SITE: 42	47	48	1
SITE: 42	48	50	0
SITE: 42	50	51	0
SITE: 60	62	63	0
SITE: 59	60	63	0
SITE: 33	35	39	1
SITE: 37	39	42	0
SITE: 33	37	42	1
SITE: 58	61	63	1
SITE: 57	58	63	0
SITE: 33	42	43	0
SITE: 3	6	7	0
SITE: 3	4	10	1
SITE: 56	59	63	1
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 53	57	63	0
SITE: 2	3	10	0
SITE: 12	14	15	0
SITE: 15	19	31	1
SITE: 52	53	63	1
SITE: 31	33	41	1
SITE: 51	52	63	1
SITE: 43	51	63	1
SITE: 41	43	63	0
SITE: 7	10	12	1
SITE: 12	15	22	1
SITE: 12	22	31	1
SITE: 11	12	31	1
SITE: 32	41	63	0
SITE: 31	54	63	0
SITE: 13	31	63	1
SITE: 11	13	63	1
SITE: 7	11	63	0
SITE: 2	7	63	1
SITE: 1	2	63	1
SITE: 0	63	63	1
SITE: 0	0	32	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 32	32	32	1
MPS Info: -23.0939 0.651666 7.58799e-12 
Writing MPS done!
