HHHLHHLHLLLLHLLHHLHLLLHHHLLHHHHHHHHLHHLHHLLHHLLHHHHHLHLHHLLLHHHH
W_LIST: 1.88256 -4.6852 0.783872 -0.130747 -0.702587 -4.443 0.313906 0.390255 2.26391 2.58326 4.36011 0.823343 -2.24702 -1.20882 3.07566 4.18777 -3.54013 1.8724 1.4529 -1.05569 5.05712 -0.871216 -5.76731 0.761527 -0.272991 3.7959 -1.7179 -4.93248 -3.4274 4.70626 -4.72067 -3.05617 -0.669441 -2.83244 0.557262 -0.850733 1.00815 -2.15064 -5.65709 -2.33357 3.64113 3.7645 1.3924 -4.85562 3.31833 3.09942 0.157524 1.96643 5.94311 -0.30925 -4.86836 -5.59781 -3.09907 5.36335 -0.0904284 5.40898 -3.12341 1.13792 1.75766 -3.87237 -3.4861 5.48437 -0.872977 -3.02642 
st	op	ed	phy
SITE: 50	51	53	1
SITE: 27	29	30	0
SITE: 38	40	41	0
SITE: 52	53	55	0
SITE: 27	30	31	1
SITE: 58	59	61	0
SITE: 48	50	52	1
SITE: 41	43	44	1
SITE: 37	38	41	0
SITE: 25	27	28	1
SITE: 19	20	22	1
SITE: 14	15	17	0
SITE: 25	28	31	1
SITE: 55	56	58	1
SITE: 60	61	63	0
SITE: 45	47	48	0
SITE: 44	45	48	1
SITE: 22	23	25	0
SITE: 22	25	26	1
SITE: 22	26	31	0
SITE: 46	48	52	0
SITE: 21	22	31	1
SITE: 9	10	12	1
SITE: 12	14	16	1
SITE: 55	58	60	1
SITE: 12	16	17	1
SITE: 49	52	55	0
SITE: 39	41	44	1
SITE: 5	6	8	1
SITE: 5	8	9	1
SITE: 4	5	9	1
SITE: 0	1	3	1
SITE: 31	33	34	1
SITE: 54	55	60	0
SITE: 19	21	31	0
SITE: 18	19	31	0
SITE: 17	18	31	0
SITE: 13	17	31	1
SITE: 12	13	31	0
SITE: 12	31	32	1
SITE: 57	60	63	1
SITE: 7	9	12	1
SITE: 37	39	44	1
SITE: 36	37	44	1
SITE: 35	36	44	0
SITE: 4	7	12	1
SITE: 54	62	63	1
SITE: 49	54	63	1
SITE: 11	12	32	1
SITE: 46	49	63	1
SITE: 44	46	63	0
SITE: 42	44	63	0
SITE: 35	42	63	1
SITE: 34	35	63	0
SITE: 32	34	63	0
SITE: 24	32	63	1
SITE: 11	24	63	1
SITE: 4	57	63	1
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 0	63	63	1
SITE: 0	0	11	0
SITE: 2	2	11	0
SITE: 11	11	11	1
MPS Info: 31.2447 0.409918 4.73339e-05 
Writing MPS done!
