LLLLLHLLHHLHHLHLLHHLLLLHLHLHLHLLHLLLLLLLHLHLHLLHLLHLLLHLLLLLHLLL
W_LIST: -5.95677 -0.890792 1.39374 0.131809 1.90764 -3.84077 -3.46951 5.31185 -4.03528 -3.67361 3.82207 3.39336 -4.74808 -0.693745 -3.47864 -5.8201 -3.37132 2.34235 1.3806 -3.76706 5.15438 1.66731 5.68571 5.76317 5.7458 -4.04858 5.75894 0.307196 -4.28686 3.09077 1.76886 -0.2535 2.5979 2.21057 -1.30115 3.45622 -0.065209 3.67679 1.71161 4.97669 -2.8653 3.20259 3.90909 -3.41887 -1.36577 -0.19638 -4.37595 -4.53162 5.78218 3.39966 4.89099 3.04003 -3.3679 -1.72241 0.631038 0.826755 3.88454 -4.57594 5.34697 3.10916 -0.328284 -0.0961707 4.76153 -4.86615 
st	op	ed	phy
SITE: 23	24	26	1
SITE: 22	23	26	0
SITE: 21	22	26	1
SITE: 47	48	50	1
SITE: 20	25	26	1
SITE: 56	58	59	1
SITE: 46	47	50	1
SITE: 7	8	10	1
SITE: 9	10	12	1
SITE: 5	7	9	1
SITE: 6	9	12	1
SITE: 19	20	26	1
SITE: 5	6	12	0
SITE: 46	50	51	0
SITE: 14	15	17	0
SITE: 39	41	42	1
SITE: 39	42	43	0
SITE: 46	51	52	1
SITE: 37	39	40	1
SITE: 46	52	53	0
SITE: 26	28	29	0
SITE: 4	5	12	1
SITE: 55	57	59	0
SITE: 18	19	26	0
SITE: 37	40	43	1
SITE: 26	29	30	0
SITE: 11	12	14	1
SITE: 60	62	63	1
SITE: 17	18	26	0
SITE: 16	17	26	0
SITE: 14	16	26	0
SITE: 13	14	26	1
SITE: 43	44	46	1
SITE: 43	46	49	0
SITE: 11	13	26	0
SITE: 4	11	26	0
SITE: 32	33	35	1
SITE: 34	35	37	1
SITE: 21	26	30	1
SITE: 59	61	63	0
SITE: 56	59	63	1
SITE: 55	56	63	1
SITE: 32	34	37	0
SITE: 36	37	43	1
SITE: 0	0	3	0
SITE: 43	49	53	1
SITE: 54	60	63	0
SITE: 53	54	63	0
SITE: 32	36	43	0
SITE: 45	53	63	0
SITE: 43	55	63	1
SITE: 38	43	63	0
SITE: 32	38	63	1
SITE: 31	32	63	0
SITE: 30	31	63	0
SITE: 27	30	63	1
SITE: 21	27	63	0
SITE: 4	21	63	1
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 1	63	63	0
SITE: 1	2	45	1
SITE: 1	1	45	0
WARN: Unitary gate is identity
SITE: 45	45	45	0
MPS Info: -41.7121 1.18375 0.00853832 
Writing MPS done!
