LHLLLLLHLHLLLLLHHHLHHLHLLHHLLLLLHHHLLHLHHHHHLHHLHLLHLLLHHLHHHLLH
W_LIST: 4.30765 -1.07569 6.45311 2.88045 6.27221 0.402628 0.574112 -6.83463 -4.83047 4.61211 3.76797 -1.03066 -1.05939 -4.61519 -2.29606 1.82361 -0.513871 -0.739634 2.1449 6.30577 5.29479 1.85496 -3.32507 -2.23287 -0.435392 6.572 -6.52678 -5.69034 1.3491 -3.12409 5.4466 -2.33771 -2.44445 -6.68324 -6.45311 -4.458 -6.14513 -6.10196 3.55034 -1.5419 2.73247 3.22162 -0.0349291 -5.27128 5.01691 -3.87681 5.05873 0.726493 3.2683 -4.77177 -5.73795 5.05602 -6.60955 -0.986914 -4.59462 -2.5112 -5.24903 -0.452863 -1.61624 -5.95835 -5.04909 -0.87821 5.9224 -1.41694 
st	op	ed	phy
SITE: 33	34	36	1
SITE: 33	36	37	0
SITE: 49	50	52	0
SITE: 33	37	38	1
SITE: 25	26	28	1
SITE: 7	9	10	0
SITE: 48	51	52	0
SITE: 43	44	46	1
SITE: 59	60	62	1
SITE: 30	32	33	1
SITE: 30	33	35	1
SITE: 19	20	22	0
SITE: 1	2	4	1
SITE: 25	27	29	0
SITE: 25	29	30	0
SITE: 25	30	31	1
SITE: 7	8	11	0
SITE: 43	46	47	0
SITE: 49	52	54	0
SITE: 58	59	62	1
SITE: 25	31	35	0
SITE: 25	35	38	0
SITE: 19	22	23	1
SITE: 4	6	7	1
SITE: 4	7	10	1
SITE: 0	0	4	1
SITE: 43	45	48	1
SITE: 43	48	49	0
SITE: 3	4	10	1
SITE: 25	38	39	1
SITE: 18	19	23	0
SITE: 25	28	40	1
SITE: 25	40	41	0
SITE: 54	56	57	1
SITE: 49	54	55	0
SITE: 42	43	49	1
SITE: 10	11	13	0
SITE: 10	13	14	0
SITE: 24	25	41	0
SITE: 58	62	63	1
SITE: 1	1	10	1
SITE: 41	47	49	1
SITE: 39	41	49	0
SITE: 10	14	15	0
SITE: 5	10	15	1
SITE: 17	18	23	1
SITE: 55	58	61	1
SITE: 55	61	63	0
SITE: 49	55	57	1
SITE: 49	57	63	0
SITE: 21	23	39	0
SITE: 15	17	21	1
SITE: 24	39	49	1
SITE: 21	24	49	1
SITE: 16	21	49	1
SITE: 15	16	49	1
SITE: 12	15	49	0
SITE: 42	49	63	0
SITE: 3	3	42	1
SITE: 12	53	63	0
SITE: 5	63	63	1
SITE: 5	5	42	0
WARN: Unitary gate is identity
SITE: 12	12	12	1
WARN: Unitary gate is identity
SITE: 42	42	42	1
MPS Info: 4.20203 0.880345 0.692684 
Writing MPS done!
