HHLHHHLHHLLLHHLHLLLHLLHLHHLHHHLHLHLHHHHLHLLHHLLLHHLHLLHHHLHLLHHH
W_LIST: -6.45627 1.87552 2.26078 -6.24868 3.63572 -3.79564 2.29813 6.32661 -0.396512 4.41232 -1.31718 0.968242 -3.00465 -4.21458 1.93948 -1.29363 4.28409 -0.37412 2.08866 -5.13641 5.37044 -5.50397 -3.75051 1.6573 -0.420779 -4.19593 -0.711462 3.05163 0.68063 4.95275 5.82734 4.50881 4.76348 -2.7609 1.4348 -5.77482 -6.97996 3.09715 -4.71845 -5.18948 -2.32809 -1.88209 1.9225 5.17952 1.37372 -6.44021 6.19936 -4.32755 -1.52353 2.77961 6.51932 -6.89233 2.51469 -1.83139 -4.03348 -1.40849 0.201599 -0.230309 5.84211 -0.528276 2.07365 -5.21863 -3.69521 1.81883 
st	op	ed	phy
SITE: 35	36	38	1
SITE: 29	30	32	1
SITE: 19	21	22	0
SITE: 43	45	46	0
SITE: 49	51	52	1
SITE: 35	38	39	1
SITE: 43	46	47	1
SITE: 0	0	3	1
SITE: 2	3	5	1
SITE: 18	20	22	1
SITE: 35	39	40	0
SITE: 29	32	33	1
SITE: 4	5	7	1
SITE: 47	49	50	0
SITE: 50	52	54	1
SITE: 47	50	53	1
SITE: 58	60	61	1
SITE: 58	61	62	1
SITE: 31	33	35	1
SITE: 29	31	35	0
SITE: 42	43	47	0
SITE: 6	7	9	0
SITE: 16	18	19	1
SITE: 16	19	22	1
SITE: 58	62	63	1
SITE: 29	35	37	1
SITE: 47	53	54	0
SITE: 13	14	16	1
SITE: 12	13	16	1
SITE: 44	47	54	0
SITE: 11	12	16	1
SITE: 15	16	22	1
SITE: 4	6	9	1
SITE: 22	23	25	1
SITE: 17	22	25	1
SITE: 2	4	9	0
SITE: 15	17	25	0
SITE: 24	25	27	1
SITE: 26	27	29	0
SITE: 9	10	15	0
SITE: 9	15	24	1
SITE: 57	58	63	0
SITE: 42	44	54	0
SITE: 2	9	11	1
SITE: 29	37	40	0
SITE: 29	40	41	1
SITE: 29	41	42	0
SITE: 28	29	42	0
SITE: 42	54	55	1
SITE: 42	55	56	1
SITE: 2	11	24	1
SITE: 1	2	24	1
SITE: 26	28	42	0
SITE: 24	26	42	0
SITE: 24	42	48	1
SITE: 56	59	63	0
SITE: 1	24	34	1
SITE: 48	57	63	1
SITE: 34	56	63	1
SITE: 8	48	63	1
SITE: 1	63	63	0
SITE: 1	1	34	0
SITE: 8	34	34	1
WARN: Unitary gate is identity
SITE: 8	8	8	1
MPS Info: 20.7646 0.395552 0.689611 
Writing MPS done!
