HHHHHLLHLHLHLLHHHLHLHLLLHLHHLLHLLHLLHHLLHLLLHLLLHHHLLLHHLLLLHLLL
W_LIST: 1.75726 6.48222 -1.06134 0.827903 -6.10296 -0.119987 -5.80537 4.26208 4.76622 -0.912597 5.52589 1.71783 6.76587 -4.06435 -3.47219 -4.21259 -2.66667 -3.73705 5.56758 -2.42722 -1.60119 -4.76356 -0.410042 6.61611 -2.1653 -6.48391 1.46928 -2.42013 0.429955 -2.51843 -2.77988 -1.67374 2.21645 -1.29002 0.892762 5.98138 -3.79303 1.29682 -2.56924 3.94268 -4.2258 -5.54598 -0.84347 5.59857 0.0075221 -3.90149 -2.1229 -6.22281 5.42953 -3.13863 5.8658 2.62704 2.43629 3.10192 3.17695 0.755022 -1.25441 -1.89685 -0.111003 5.008 -4.00532 -3.34629 -2.05181 1.28224 
st	op	ed	phy
SITE: 47	48	50	0
SITE: 12	13	15	0
SITE: 12	15	16	1
SITE: 10	12	14	1
SITE: 4	6	7	0
SITE: 47	50	51	0
SITE: 23	25	26	0
SITE: 38	40	41	1
SITE: 39	41	43	0
SITE: 7	8	10	1
SITE: 14	17	18	0
SITE: 1	2	4	1
SITE: 18	19	21	0
SITE: 16	18	21	0
SITE: 0	1	4	0
SITE: 59	60	62	1
SITE: 45	47	49	0
SITE: 35	36	38	1
SITE: 21	23	24	1
SITE: 7	10	11	1
SITE: 4	7	9	0
SITE: 35	38	39	0
SITE: 34	35	39	1
SITE: 51	53	54	1
SITE: 59	61	63	0
SITE: 37	39	43	1
SITE: 14	16	21	1
SITE: 43	45	46	0
SITE: 14	21	22	0
SITE: 4	9	11	1
SITE: 4	11	14	0
SITE: 3	4	14	1
SITE: 43	46	49	0
SITE: 43	49	51	1
SITE: 43	51	52	1
SITE: 43	52	54	1
SITE: 43	54	55	0
SITE: 29	30	32	1
SITE: 29	31	33	0
SITE: 27	29	32	0
SITE: 43	55	56	0
SITE: 43	56	57	0
SITE: 26	27	32	1
SITE: 43	57	58	0
SITE: 43	44	59	0
SITE: 43	59	62	1
SITE: 43	62	63	0
SITE: 42	43	63	1
SITE: 24	26	32	0
SITE: 24	32	33	1
SITE: 14	22	24	0
SITE: 14	24	28	1
SITE: 14	28	33	1
SITE: 14	33	34	1
SITE: 0	0	14	0
SITE: 14	20	37	1
SITE: 14	37	42	0
SITE: 5	14	42	1
SITE: 34	42	63	0
SITE: 5	34	63	0
SITE: 3	63	63	1
SITE: 3	3	58	0
SITE: 5	5	58	0
WARN: Unitary gate is identity
SITE: 58	58	58	0
MPS Info: -19.5306 0.925012 0.0553281 
Writing MPS done!
