LLLLLHHHHHHHLHLLLLHHHHHHLLLHHLLLHLHHLLLLLLHHHLLLLHHHHHHHLHLHLLHL
W_LIST: 5.30908 0.256448 -3.43649 2.81895 6.69129 -2.55308 -6.49623 6.58418 -1.00264 0.639464 1.44572 -6.79286 -5.20049 -0.158373 -4.17566 3.89438 -1.38651 6.8267 -1.98068 -1.98845 -0.863625 0.48695 2.442 -4.45479 -5.52282 4.02877 2.16865 -4.6859 -6.08759 -0.769239 -2.56763 5.57985 5.99377 -5.0472 0.799844 3.64243 -4.93269 -3.51185 -2.68989 3.37883 2.43374 -2.80718 -2.75858 2.49386 6.48642 6.10536 5.49825 0.50029 4.20915 -3.01276 2.87423 -1.86937 0.397687 5.36824 -5.35194 1.00645 2.88924 -3.22695 -0.892042 -5.04878 5.94147 3.33462 -1.3235 1.33095 
st	op	ed	phy
SITE: 4	6	7	1
SITE: 43	44	46	0
SITE: 30	32	33	0
SITE: 3	4	7	1
SITE: 42	45	46	1
SITE: 11	12	14	0
SITE: 25	27	28	1
SITE: 24	25	28	1
SITE: 23	24	28	0
SITE: 14	15	17	1
SITE: 28	30	31	0
SITE: 28	31	33	1
SITE: 59	60	62	1
SITE: 14	17	18	1
SITE: 2	5	7	1
SITE: 35	36	38	0
SITE: 53	54	56	1
SITE: 22	23	28	1
SITE: 11	14	16	0
SITE: 41	43	46	0
SITE: 46	48	49	1
SITE: 35	37	39	0
SITE: 56	57	59	1
SITE: 2	7	8	0
SITE: 40	41	46	0
SITE: 39	40	46	1
SITE: 26	28	33	1
SITE: 11	16	18	0
SITE: 56	59	61	1
SITE: 46	49	50	1
SITE: 11	18	19	1
SITE: 38	39	46	1
SITE: 35	38	46	0
SITE: 34	35	46	0
SITE: 33	42	46	1
SITE: 0	0	3	1
SITE: 10	11	19	1
SITE: 29	33	46	0
SITE: 50	51	53	1
SITE: 53	56	58	1
SITE: 53	58	61	0
SITE: 53	61	62	1
SITE: 34	46	50	1
SITE: 53	62	63	1
SITE: 47	50	53	0
SITE: 34	47	53	0
SITE: 29	34	53	0
SITE: 2	3	9	1
SITE: 26	29	53	0
SITE: 22	26	53	1
SITE: 21	22	53	0
SITE: 20	21	53	0
SITE: 19	20	53	1
SITE: 13	19	53	1
SITE: 10	13	53	0
SITE: 9	10	53	0
SITE: 8	9	53	0
SITE: 2	8	53	1
SITE: 1	2	53	0
SITE: 52	53	63	0
SITE: 1	63	63	1
SITE: 1	52	55	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 55	55	55	1
MPS Info: -7.20012 0.358415 0.620018 
Writing MPS done!
