LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.263711 -0.77653 -7.36142 -0.349366 5.32306 1.67452 2.94081 5.23928 7.21801 -0.384406 6.17218 -0.615555 6.67134 -1.95514 0.470421 -3.74439 -4.83271 -5.81676 -6.01461 -7.60001 6.67799 -2.85397 0.674915 5.68094 3.62349 -5.70914 -7.2751 5.93024 -3.9969 7.35201 -2.62058 -5.94334 4.92919 -7.1386 1.98195 3.99439 -5.94022 1.24753 3.54474 -7.98494 -6.80754 -2.60605 -7.82126 -7.43198 7.54718 -1.67024 3.23235 6.95394 -7.96857 -2.88494 -4.99738 2.7777 -3.95288 -4.12503 -0.601549 2.2668 -0.836518 5.32646 -0.0493342 -1.8175 -6.75335 3.03285 -4.9203 -2.80873 
st	op	ed	phy
SITE: 17	19	20	0
SITE: 41	42	44	1
SITE: 39	40	43	0
SITE: 39	43	44	0
SITE: 26	27	29	1
SITE: 25	26	29	0
SITE: 16	17	20	0
SITE: 47	48	50	0
SITE: 38	39	44	1
SITE: 29	31	32	1
SITE: 29	32	33	1
SITE: 28	29	33	1
SITE: 25	28	33	0
SITE: 44	46	47	0
SITE: 41	44	47	1
SITE: 24	25	33	0
SITE: 23	24	33	0
SITE: 15	18	20	1
SITE: 33	35	36	0
SITE: 23	33	34	1
SITE: 7	8	10	0
SITE: 47	50	51	1
SITE: 15	20	21	1
SITE: 60	62	63	0
SITE: 23	30	36	0
SITE: 47	49	52	1
SITE: 47	52	53	0
SITE: 45	47	53	0
SITE: 10	12	13	0
SITE: 4	6	7	0
SITE: 2	4	5	1
SITE: 2	5	7	0
SITE: 1	2	7	0
SITE: 23	36	37	0
SITE: 16	21	23	0
SITE: 15	16	23	0
SITE: 59	60	63	0
SITE: 7	10	11	1
SITE: 23	34	38	0
SITE: 23	38	41	1
SITE: 23	41	45	1
SITE: 23	45	51	1
SITE: 23	51	53	1
SITE: 15	23	37	0
SITE: 57	59	61	0
SITE: 57	61	63	1
SITE: 15	22	53	1
SITE: 54	55	57	1
SITE: 53	56	57	0
SITE: 37	53	57	1
SITE: 15	54	57	0
SITE: 15	57	58	1
SITE: 7	11	13	0
SITE: 7	13	14	1
SITE: 7	14	15	1
SITE: 7	15	37	1
SITE: 3	7	37	0
SITE: 9	37	63	0
SITE: 3	58	63	1
SITE: 1	3	63	0
SITE: 0	63	63	0
SITE: 0	0	9	0
SITE: 1	1	9	1
SITE: 9	9	9	1
MPS Info: -30.0403 0.64001 0.00135593 
Writing MPS done!
