LHHLHLHLLHHLLLLHLHHLLLLHHLLLLLLHHHHHLHHHHHHHHLHLLHHHLHHLLHLLLHLL
W_LIST: 3.29373 5.76348 3.666 3.04662 -2.09296 4.68071 -4.90199 -3.75629 3.05359 -3.09794 2.01094 6.52339 3.72396 -0.52438 7.59736 -4.87736 -1.69713 -0.511355 5.78457 7.53507 -1.05184 -1.13584 -4.84448 -0.425614 -2.32432 -6.16604 -2.5061 7.15157 -6.38427 0.197864 0.739219 4.50852 -3.32821 6.86976 2.15305 -6.70852 3.07822 0.1015 -7.98663 -1.01199 7.11904 5.16641 3.16954 1.8923 -5.46422 1.17476 -6.69397 4.9038 4.91774 -5.91575 4.7786 -7.89498 0.633717 -5.14103 -6.59748 -3.79495 6.63002 0.121299 -3.41235 -2.42438 4.68504 -0.468648 -5.26891 2.74757 
st	op	ed	phy
SITE: 48	49	51	1
SITE: 25	27	28	1
SITE: 53	54	56	1
SITE: 47	50	51	0
SITE: 46	47	51	1
SITE: 38	40	41	0
SITE: 45	46	51	1
SITE: 32	33	35	0
SITE: 11	12	14	1
SITE: 11	14	15	1
SITE: 24	25	28	0
SITE: 51	53	55	1
SITE: 51	55	56	0
SITE: 48	51	56	1
SITE: 35	36	38	1
SITE: 34	35	38	1
SITE: 38	41	42	0
SITE: 5	6	8	1
SITE: 0	1	3	0
SITE: 16	18	19	0
SITE: 15	16	19	0
SITE: 19	21	22	0
SITE: 13	15	19	1
SITE: 11	13	19	0
SITE: 10	11	19	1
SITE: 5	7	9	0
SITE: 38	42	43	0
SITE: 38	43	44	0
SITE: 38	44	45	1
SITE: 2	3	5	1
SITE: 0	2	5	0
SITE: 0	5	8	1
SITE: 19	22	23	0
SITE: 32	34	38	0
SITE: 31	32	38	1
SITE: 0	0	9	1
SITE: 30	31	38	0
SITE: 60	62	63	0
SITE: 56	58	59	0
SITE: 56	59	60	0
SITE: 56	60	61	1
SITE: 9	10	19	0
SITE: 8	9	19	1
SITE: 4	4	19	1
SITE: 38	39	48	1
SITE: 37	38	48	1
SITE: 8	19	20	1
SITE: 23	26	28	0
SITE: 56	57	63	0
SITE: 48	56	61	1
SITE: 20	24	28	1
SITE: 28	30	37	1
SITE: 20	28	29	0
SITE: 48	61	63	1
SITE: 45	48	63	1
SITE: 8	8	23	1
SITE: 37	52	63	0
SITE: 29	37	63	1
SITE: 23	45	63	1
SITE: 20	23	63	1
SITE: 17	63	63	1
SITE: 17	20	29	0
SITE: 17	17	29	0
SITE: 29	29	29	0
MPS Info: 4.57349 0.212599 0.0287011 
Writing MPS done!
