LLLHHLLHHLHLHHHHHLLHHLLLLHHLLLLLLHLHHHHHLHHLHHLLLHLLLHLHLLHLLHLL
W_LIST: 3.29951 0.282881 1.78789 7.13009 -4.1941 2.99629 -2.4099 -8.28979 -1.44679 -5.73756 0.970208 2.85114 -0.926289 -5.09683 -3.10282 -1.91815 2.61363 4.3127 -1.85976 -6.79856 -2.03436 0.510054 8.33606 0.756835 1.72074 1.70243 3.75829 4.19833 0.337936 8.35814 1.04825 4.54871 0.666555 -0.397845 -5.31676 -6.23292 3.85491 0.124193 -1.46113 -5.10327 -7.05978 -4.27103 8.54471 1.55735 -1.16135 3.15985 2.13718 8.37473 0.940591 2.89185 6.98158 -0.462916 -2.93484 8.21675 4.26501 -3.17481 -8.86083 2.13273 6.75461 -0.81576 1.63976 3.3025 -1.22942 7.18866 
st	op	ed	phy
SITE: 39	40	42	0
SITE: 53	54	56	1
SITE: 52	53	56	0
SITE: 55	56	58	0
SITE: 47	49	50	0
SITE: 46	47	50	1
SITE: 39	42	43	0
SITE: 4	5	7	1
SITE: 3	4	7	1
SITE: 2	3	7	0
SITE: 6	7	9	1
SITE: 19	20	22	1
SITE: 18	19	22	1
SITE: 26	27	29	1
SITE: 33	35	36	1
SITE: 17	18	22	0
SITE: 16	17	22	1
SITE: 52	55	58	1
SITE: 29	31	32	1
SITE: 25	26	29	0
SITE: 60	61	63	0
SITE: 2	6	9	0
SITE: 22	24	25	1
SITE: 50	52	57	0
SITE: 50	57	58	1
SITE: 50	58	59	0
SITE: 45	46	50	1
SITE: 15	16	22	0
SITE: 14	15	22	1
SITE: 13	14	22	1
SITE: 12	13	22	1
SITE: 11	12	22	1
SITE: 44	45	50	0
SITE: 10	11	22	1
SITE: 9	10	22	0
SITE: 8	9	22	0
SITE: 2	8	22	1
SITE: 1	2	22	1
SITE: 0	0	22	1
SITE: 43	44	50	1
SITE: 41	43	50	1
SITE: 39	41	50	1
SITE: 38	39	50	1
SITE: 34	36	38	0
SITE: 37	38	50	1
SITE: 34	48	50	1
SITE: 33	34	50	0
SITE: 25	29	30	1
SITE: 59	60	63	1
SITE: 22	25	28	0
SITE: 1	22	23	1
SITE: 50	59	62	0
SITE: 50	62	63	0
SITE: 37	50	63	1
SITE: 33	51	63	0
SITE: 32	33	63	0
SITE: 30	32	63	1
SITE: 28	37	63	0
SITE: 23	28	63	0
SITE: 21	23	63	0
SITE: 1	63	63	1
SITE: 1	1	30	0
SITE: 21	21	30	0
SITE: 30	30	30	0
MPS Info: -7.96253 0.48328 0.0747305 
Writing MPS done!
