LLLHHLLLHHHHLLLHHHHHLLLLHHHHHHLHHHLLLHHHLHHHLHLLLHHLHHHHHHHLHHHL
W_LIST: 4.90417 -5.13059 7.48074 -6.06484 6.25124 -0.363379 -7.42085 -8.95382 6.24627 -5.25355 -5.72885 2.52002 -4.62107 -1.55569 7.33634 -4.72227 6.77421 3.04358 2.1432 -8.93923 7.63431 -6.03756 -8.92445 3.64311 8.59991 7.77161 1.16156 7.22112 -5.57083 -5.74836 2.16376 8.81708 -5.37049 -1.72716 5.90669 6.87738 0.975548 -6.31224 -4.80128 -5.84523 2.20848 -6.6342 3.34695 -0.565052 2.63544 3.00123 -8.03045 -0.299383 -3.1658 -4.60942 -8.42286 1.92221 1.21698 -1.49786 0.22509 -0.177639 -1.18114 -7.15005 -1.56886 -2.31779 8.34976 5.43628 1.50779 6.54051 
st	op	ed	phy
SITE: 19	20	22	1
SITE: 22	24	25	0
SITE: 19	22	23	0
SITE: 6	7	9	0
SITE: 19	21	25	0
SITE: 1	2	4	1
SITE: 6	8	10	0
SITE: 18	19	25	1
SITE: 0	3	4	1
SITE: 28	29	31	1
SITE: 27	28	31	1
SITE: 27	31	32	0
SITE: 14	16	17	0
SITE: 60	61	63	0
SITE: 23	25	27	0
SITE: 34	35	37	1
SITE: 57	59	60	0
SITE: 57	60	62	0
SITE: 6	10	11	1
SITE: 38	39	41	1
SITE: 37	38	41	1
SITE: 37	41	42	1
SITE: 6	9	12	1
SITE: 1	4	6	0
SITE: 48	50	51	1
SITE: 12	14	15	1
SITE: 0	1	6	0
SITE: 46	48	49	0
SITE: 57	62	63	0
SITE: 56	57	63	1
SITE: 45	46	49	0
SITE: 27	32	33	1
SITE: 27	33	34	1
SITE: 6	12	13	0
SITE: 6	11	15	0
SITE: 6	15	17	1
SITE: 26	27	34	0
SITE: 30	34	37	1
SITE: 0	6	13	0
SITE: 17	23	26	1
SITE: 37	42	43	0
SITE: 26	30	37	1
SITE: 44	45	49	0
SITE: 37	40	44	1
SITE: 55	58	63	1
SITE: 37	44	47	1
SITE: 37	47	49	1
SITE: 37	49	51	1
SITE: 18	26	37	0
SITE: 17	18	37	0
SITE: 13	17	37	0
SITE: 37	51	52	1
SITE: 54	56	63	1
SITE: 53	55	63	1
SITE: 37	43	53	1
SITE: 52	53	63	1
SITE: 37	54	63	1
SITE: 36	37	63	1
SITE: 13	52	63	0
SITE: 5	13	63	0
SITE: 0	63	63	1
SITE: 0	0	36	1
WARN: Unitary gate is identity
SITE: 5	5	5	1
WARN: Unitary gate is identity
SITE: 36	36	36	0
MPS Info: 36.2295 0.344441 0.0100436 
Writing MPS done!
