HHHHLLLHHHHHLLHLHHLLHLLLHLHHHLHLLLHHLLHHHHLLHLHHLHHLHHLHLLHHLLLL
W_LIST: -3.7343 -5.59318 -0.147051 -5.47409 3.12426 -8.00836 2.06648 -6.88023 -7.92691 7.66849 -6.93946 8.30257 -1.24845 -0.396775 1.58916 8.76001 7.15404 -4.89905 -7.01947 -6.03981 7.85315 -0.32587 -1.15516 5.8968 -4.85782 8.12152 -0.0155468 1.01039 -7.5046 8.61679 7.76519 -2.87691 -7.01898 -8.38039 1.72527 7.56802 7.56048 -2.20053 -6.2217 -7.39714 5.569 1.10149 0.00949636 2.66762 -7.90378 4.58568 -0.230769 3.08 -3.52789 3.73562 4.53568 3.35734 0.612122 0.559184 1.84839 -1.48765 5.58676 -2.00624 6.5071 4.39064 -2.54515 1.88007 -3.81458 2.40112 
st	op	ed	phy
SITE: 8	9	11	0
SITE: 7	8	11	1
SITE: 15	16	18	0
SITE: 15	18	19	0
SITE: 28	29	31	1
SITE: 15	19	20	0
SITE: 30	32	33	0
SITE: 28	30	33	0
SITE: 33	35	36	0
SITE: 6	7	11	1
SITE: 5	10	11	1
SITE: 36	38	39	1
SITE: 36	39	40	1
SITE: 14	15	20	1
SITE: 33	36	37	1
SITE: 28	33	34	0
SITE: 4	5	11	0
SITE: 22	23	25	1
SITE: 3	4	11	1
SITE: 25	27	28	0
SITE: 24	25	28	1
SITE: 56	58	59	0
SITE: 3	11	12	0
SITE: 44	45	47	1
SITE: 0	1	3	1
SITE: 20	22	24	0
SITE: 17	20	24	0
SITE: 44	47	48	0
SITE: 44	48	49	0
SITE: 44	49	50	0
SITE: 44	50	51	0
SITE: 28	34	37	0
SITE: 28	37	40	0
SITE: 28	40	41	0
SITE: 24	28	31	1
SITE: 43	44	51	1
SITE: 56	59	60	0
SITE: 0	3	6	1
SITE: 14	17	24	1
SITE: 56	60	61	0
SITE: 56	61	62	1
SITE: 56	62	63	0
SITE: 55	56	63	1
SITE: 54	57	63	0
SITE: 24	31	41	0
SITE: 13	14	24	0
SITE: 21	24	41	1
SITE: 0	0	12	1
SITE: 51	52	54	0
SITE: 51	54	55	1
SITE: 51	55	63	1
SITE: 46	51	63	1
SITE: 43	46	63	1
SITE: 42	43	63	1
SITE: 41	42	63	0
SITE: 26	41	63	0
SITE: 2	6	13	1
SITE: 21	26	63	1
SITE: 13	21	63	1
SITE: 12	53	63	1
SITE: 2	63	63	1
SITE: 2	2	13	1
SITE: 12	12	13	0
WARN: Unitary gate is identity
SITE: 13	13	13	1
MPS Info: 19.2476 0.459112 5.31224e-07 
Writing MPS done!
