LLLLHLHHLLLHLHHHHLHHHLHLHHLHHHHHHHLHLHLHLLHLLLHLHLHLLLHLHHHLLHLH
W_LIST: 0.426379 -1.79878 -5.53718 0.788465 -0.265513 4.59387 4.28307 -7.95863 -2.2261 7.41162 4.5225 -7.12741 -3.74951 0.118299 7.03486 4.75214 -4.67715 -4.4291 -7.09177 -2.75118 7.95041 8.21266 -1.70214 -7.10156 -4.83903 -5.72296 7.46129 -5.74993 -8.36406 1.0013 8.25472 5.92576 2.24836 -3.33738 -6.13313 5.87497 6.48712 -8.3731 1.14701 5.91312 -0.937433 -5.46043 2.52619 -1.89564 5.41211 1.28988 1.23576 -3.41805 8.31118 -4.55548 2.29504 5.99517 -5.6567 -0.526577 2.56985 -0.0698836 -5.40528 -1.7201 -1.90359 -6.62784 6.61266 -3.70047 1.81992 6.56139 
st	op	ed	phy
SITE: 25	26	28	1
SITE: 34	36	37	1
SITE: 18	20	21	0
SITE: 24	25	28	1
SITE: 23	27	28	1
SITE: 28	30	31	0
SITE: 33	34	37	0
SITE: 22	23	28	0
SITE: 21	24	28	1
SITE: 9	11	12	1
SITE: 35	37	39	1
SITE: 17	18	21	1
SITE: 6	7	9	1
SITE: 14	16	17	1
SITE: 48	49	51	0
SITE: 48	51	52	1
SITE: 19	21	28	1
SITE: 47	48	52	0
SITE: 28	31	32	0
SITE: 59	60	62	1
SITE: 59	61	63	1
SITE: 5	6	9	0
SITE: 5	9	10	1
SITE: 14	17	19	0
SITE: 58	59	63	0
SITE: 5	10	12	1
SITE: 15	19	28	1
SITE: 14	15	28	0
SITE: 14	28	29	1
SITE: 33	35	39	0
SITE: 41	42	44	0
SITE: 8	12	14	0
SITE: 5	8	14	0
SITE: 5	14	22	0
SITE: 39	41	43	0
SITE: 39	43	44	0
SITE: 39	44	45	1
SITE: 2	3	5	1
SITE: 1	2	5	0
SITE: 46	47	52	0
SITE: 32	33	39	1
SITE: 50	52	54	0
SITE: 57	62	63	1
SITE: 56	57	63	1
SITE: 55	56	63	1
SITE: 54	58	63	1
SITE: 53	54	63	0
SITE: 29	32	39	0
SITE: 22	29	39	0
SITE: 13	22	39	1
SITE: 5	13	39	0
SITE: 4	5	39	1
SITE: 1	4	39	1
SITE: 39	45	46	1
SITE: 39	46	50	0
SITE: 38	39	50	0
SITE: 50	53	63	1
SITE: 40	50	63	0
SITE: 38	55	63	0
SITE: 1	38	63	1
SITE: 0	63	63	0
SITE: 0	1	40	0
SITE: 0	0	40	1
SITE: 40	40	40	1
MPS Info: 18.9139 0.540442 0.00111276 
Writing MPS done!
