LHLLLLLHLHLLLLLHHHLHHLHLLHHLLLLLHHHLLHLHHHHHLHHLHLLHLLLHHLHHHLLH
W_LIST: 6.15378e-05 -1.53669e-05 9.21873e-05 4.11492e-05 8.9603e-05 5.75184e-06 8.20159e-06 -9.76376e-05 -6.90068e-05 6.58873e-05 5.38281e-05 -1.47237e-05 -1.51341e-05 -6.59313e-05 -3.28008e-05 2.60515e-05 -7.34101e-06 -1.05662e-05 3.06414e-05 9.00824e-05 7.56399e-05 2.64994e-05 -4.75011e-05 -3.18981e-05 -6.21988e-06 9.38857e-05 -9.32397e-05 -8.12905e-05 1.92728e-05 -4.46298e-05 7.78086e-05 -3.33959e-05 -3.49208e-05 -9.54748e-05 -9.21873e-05 -6.36858e-05 -8.77875e-05 -8.71709e-05 5.07191e-05 -2.20272e-05 3.90352e-05 4.60232e-05 -4.98987e-07 -7.5304e-05 7.16701e-05 -5.5383e-05 7.22676e-05 1.03785e-05 4.669e-05 -6.81681e-05 -8.19707e-05 7.22289e-05 -9.44222e-05 -1.40988e-05 -6.56374e-05 -3.58744e-05 -7.49862e-05 -6.46947e-06 -2.30892e-05 -8.51193e-05 -7.21299e-05 -1.25459e-05 8.46057e-05 -2.0242e-05 
st	op	ed	phy
SITE: 6	7	9	1
SITE: 5	6	9	0
SITE: 5	8	10	0
SITE: 5	9	11	0
SITE: 5	10	12	1
SITE: 3	5	11	1
SITE: 3	11	12	0
SITE: 3	4	13	0
SITE: 2	3	13	1
SITE: 1	2	13	0
SITE: 0	1	13	0
SITE: 0	12	14	1
SITE: 0	13	15	0
SITE: 0	14	16	1
SITE: 0	15	17	1
SITE: 0	17	18	1
SITE: 0	16	19	0
SITE: 0	18	20	0
SITE: 0	20	21	0
SITE: 19	21	23	1
SITE: 0	22	23	1
SITE: 0	0	24	0
SITE: 19	19	25	1
SITE: 24	26	27	1
SITE: 23	25	27	1
SITE: 23	24	28	0
SITE: 23	23	29	1
SITE: 27	27	30	0
SITE: 28	28	31	1
SITE: 31	33	34	1
SITE: 30	32	34	1
SITE: 29	29	34	0
SITE: 30	30	35	1
SITE: 34	35	37	0
SITE: 31	31	37	0
SITE: 34	36	38	1
SITE: 34	37	39	1
SITE: 34	39	40	1
SITE: 34	34	41	1
SITE: 38	40	42	1
SITE: 41	43	44	1
SITE: 41	42	45	1
SITE: 38	41	45	1
SITE: 38	45	46	1
SITE: 44	46	48	1
SITE: 38	47	48	0
SITE: 38	48	49	0
SITE: 38	49	50	1
SITE: 38	50	51	0
SITE: 38	51	52	0
SITE: 38	52	53	1
SITE: 38	44	54	1
SITE: 38	53	55	0
SITE: 38	55	56	0
SITE: 56	57	59	1
SITE: 54	58	59	1
SITE: 38	54	59	0
SITE: 38	59	60	1
SITE: 38	60	61	1
SITE: 38	56	62	0
SITE: 38	62	63	0
SITE: 38	61	63	1
SITE: 38	63	63	1
SITE: 38	38	38	1
MPS Info: -2.02688 3.2427 0.91302 
Writing MPS done!
