HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -1.13303e-05 5.73176e-07 7.74888e-05 -1.74949e-05 -6.39733e-05 -9.18002e-06 2.59307e-05 1.94112e-05 5.18462e-06 -9.19615e-05 -9.59455e-05 6.38046e-05 8.44467e-06 -5.0193e-05 -6.64046e-05 5.35888e-05 -6.88495e-05 -9.62068e-05 -7.15677e-05 4.05683e-05 7.86118e-05 3.73989e-05 3.57856e-05 2.09298e-05 -5.56458e-05 -7.91402e-05 -6.47807e-05 1.21441e-05 -6.98837e-06 -2.73254e-05 4.27664e-05 -1.44253e-05 9.82479e-05 5.86171e-05 -8.23052e-05 3.45822e-05 -2.05847e-05 -7.57772e-05 7.5874e-05 -6.53248e-05 4.02275e-05 -4.4798e-06 -2.36002e-05 3.52631e-05 -7.14552e-05 -5.6088e-05 6.70781e-05 1.18269e-05 -9.15606e-05 -2.15071e-05 4.95651e-05 2.82943e-06 -3.59696e-05 -9.72748e-05 -4.35927e-05 5.74464e-05 3.91458e-05 -4.77263e-05 1.99176e-05 2.8205e-05 -4.23077e-05 -8.30624e-05 5.67711e-05 5.68774e-05 
st	op	ed	phy
SITE: 31	32	34	0
SITE: 30	31	34	1
SITE: 30	33	35	0
SITE: 28	30	34	1
SITE: 28	34	35	0
SITE: 28	29	36	1
SITE: 27	28	36	1
SITE: 26	27	36	1
SITE: 25	35	36	1
SITE: 24	25	36	0
SITE: 24	26	37	0
SITE: 22	24	36	0
SITE: 22	23	37	1
SITE: 21	22	37	1
SITE: 20	21	37	0
SITE: 19	20	37	0
SITE: 18	19	37	1
SITE: 17	18	37	0
SITE: 16	36	37	0
SITE: 16	37	38	1
SITE: 16	38	39	0
SITE: 15	17	39	1
SITE: 15	16	40	1
SITE: 14	39	40	0
SITE: 13	15	40	0
SITE: 14	40	42	0
SITE: 13	14	42	1
SITE: 12	41	42	1
SITE: 12	42	43	0
SITE: 12	43	44	0
SITE: 12	13	45	1
SITE: 11	44	45	1
SITE: 11	45	46	1
SITE: 11	46	47	0
SITE: 11	47	48	0
SITE: 10	11	48	0
SITE: 9	12	48	0
SITE: 9	48	49	0
SITE: 9	10	50	0
SITE: 9	50	51	1
SITE: 9	49	52	0
SITE: 8	9	52	1
SITE: 7	8	52	0
SITE: 6	7	52	0
SITE: 5	6	52	1
SITE: 4	5	52	1
SITE: 3	4	52	1
SITE: 2	3	52	1
SITE: 1	2	52	1
SITE: 0	0	52	1
SITE: 1	52	53	1
SITE: 1	51	54	1
SITE: 1	54	55	0
SITE: 1	55	56	0
SITE: 1	56	57	1
SITE: 1	57	58	1
SITE: 1	58	59	0
SITE: 1	59	60	1
SITE: 53	60	62	0
SITE: 1	61	62	0
SITE: 1	62	63	0
SITE: 1	1	63	0
SITE: 53	63	63	0
SITE: 53	53	53	0
MPS Info: -0.424366 4.17675 2.98537 
Writing MPS done!
