HLLLHHLHLLHLLLLHLLHLHHLHHLLHHHLHLHHLLHLHHHHLHLLLLHLHLLLHLHHLHLHH
W_LIST: -7.2641e-05 -7.29467e-05 9.78178e-05 -8.74301e-06 2.30344e-05 1.08943e-05 9.9817e-05 -1.65356e-05 -4.7884e-06 9.94761e-05 8.61197e-05 -5.05281e-05 -7.49239e-05 -3.30238e-05 -8.48813e-05 -8.0007e-05 -6.32225e-05 -8.05419e-05 -7.39776e-05 -4.98107e-05 8.18538e-05 -7.79835e-05 1.75528e-05 -1.23489e-05 -5.50195e-05 5.93771e-05 -1.55527e-05 -1.32e-05 -3.56369e-05 -8.11751e-05 5.90839e-05 7.8997e-05 7.15918e-06 2.67174e-05 5.57479e-05 -2.18527e-05 -5.63634e-05 -8.15296e-05 -7.85025e-05 -2.16494e-05 2.33464e-05 -2.32103e-05 6.02895e-05 8.31545e-05 -2.75919e-05 3.4052e-05 -8.40377e-05 -4.77487e-06 -9.69249e-05 -9.78768e-05 -2.51231e-05 9.07573e-05 -4.49305e-05 6.65332e-05 -1.95438e-05 -9.52945e-05 7.27443e-05 -3.81882e-05 -6.04386e-05 6.09225e-05 6.29529e-05 -6.90803e-05 4.45878e-05 -4.447e-06 
st	op	ed	phy
SITE: 8	9	11	1
SITE: 7	10	11	1
SITE: 5	7	8	1
SITE: 5	6	11	0
SITE: 4	5	11	0
SITE: 3	4	11	0
SITE: 2	8	11	0
SITE: 2	11	12	0
SITE: 2	12	13	1
SITE: 2	13	14	0
SITE: 2	14	15	1
SITE: 2	15	16	1
SITE: 2	16	17	0
SITE: 2	17	18	1
SITE: 2	18	19	1
SITE: 2	3	20	0
SITE: 1	2	20	1
SITE: 0	1	20	0
SITE: 0	20	21	1
SITE: 0	0	22	0
SITE: 19	21	23	1
SITE: 23	24	26	1
SITE: 22	25	26	0
SITE: 22	26	27	1
SITE: 22	23	28	1
SITE: 19	27	28	1
SITE: 22	28	30	1
SITE: 19	29	30	1
SITE: 22	31	32	1
SITE: 19	22	32	0
SITE: 32	33	35	1
SITE: 19	32	34	0
SITE: 19	34	35	1
SITE: 30	35	37	0
SITE: 19	36	37	1
SITE: 19	37	38	1
SITE: 19	30	39	0
SITE: 19	39	40	0
SITE: 19	40	41	0
SITE: 38	41	43	0
SITE: 19	42	43	0
SITE: 19	43	44	0
SITE: 19	44	45	0
SITE: 19	45	46	1
SITE: 19	46	47	0
SITE: 19	47	48	1
SITE: 19	48	49	0
SITE: 19	49	50	0
SITE: 19	38	51	0
SITE: 19	51	52	0
SITE: 19	52	53	1
SITE: 19	53	54	0
SITE: 19	50	55	0
SITE: 56	58	59	1
SITE: 54	56	57	1
SITE: 19	54	57	1
SITE: 19	57	59	1
SITE: 55	60	61	1
SITE: 19	59	61	0
SITE: 19	61	62	0
SITE: 19	55	63	0
SITE: 19	63	63	0
SITE: 19	19	62	0
SITE: 62	62	62	0
MPS Info: 0.522498 3.50942 1.61487 
Writing MPS done!
