LLHLHHLLLHHLLHHLLHLLHHLLLHLHHLHHLHHHLHHLHLLLHLLLHHLHLLHLHHHHLHLH
W_LIST: -0.266227 -0.206801 0.22217 -0.0721737 0.305325 -0.0634167 0.293659 -0.206631 -0.296435 0.0406549 -0.287028 0.0692042 0.165426 -0.193966 0.141352 0.067276 -0.236488 0.316671 -0.232197 0.283001 0.254069 -0.0162028 0.148176 -0.206022 0.145336 0.170284 0.0349973 -0.248107 0.0242085 -0.00132168 -0.215795 -0.201751 0.144514 -0.083929 -0.169395 -0.122761 -0.00889463 0.0894266 -0.154895 0.0423639 -0.169395 0.016122 -0.216298 0.0373475 0.0218234 -0.00382141 -0.189301 -0.263578 -0.293299 -0.274963 0.2868 0.194256 -0.103914 0.06871 -0.183536 -0.218404 -0.256256 0.156766 -0.131684 -0.290907 -0.313295 0.0328239 -0.122553 0.28888 
st	op	ed	phy
SITE: 57	59	60	1
SITE: 57	58	61	1
SITE: 57	60	62	0
SITE: 56	61	62	0
SITE: 56	57	63	1
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 53	54	63	0
SITE: 52	53	63	1
SITE: 51	52	63	0
SITE: 49	50	62	1
SITE: 49	51	63	0
SITE: 48	49	63	1
SITE: 47	48	63	1
SITE: 46	47	63	0
SITE: 45	46	63	1
SITE: 44	45	63	0
SITE: 43	44	63	0
SITE: 42	43	63	1
SITE: 41	42	63	0
SITE: 40	41	63	1
SITE: 39	40	63	1
SITE: 38	62	63	1
SITE: 37	38	63	1
SITE: 36	39	63	0
SITE: 35	37	63	0
SITE: 34	36	63	1
SITE: 33	34	63	1
SITE: 32	35	63	1
SITE: 31	33	63	1
SITE: 30	31	63	1
SITE: 29	30	63	1
SITE: 28	29	63	0
SITE: 27	28	63	0
SITE: 26	27	63	1
SITE: 25	32	63	1
SITE: 24	25	63	1
SITE: 23	26	63	1
SITE: 22	23	63	0
SITE: 21	22	63	1
SITE: 20	21	63	1
SITE: 19	24	63	0
SITE: 18	19	63	1
SITE: 17	18	63	0
SITE: 16	17	63	0
SITE: 15	16	63	1
SITE: 14	20	63	0
SITE: 13	15	63	1
SITE: 12	14	63	1
SITE: 5	6	8	1
SITE: 4	7	8	0
SITE: 4	5	9	1
SITE: 4	8	10	1
SITE: 4	10	11	1
SITE: 3	9	11	1
SITE: 3	4	12	0
SITE: 2	11	12	0
SITE: 3	12	63	1
SITE: 2	13	63	1
SITE: 1	2	63	0
SITE: 0	0	63	0
SITE: 1	1	63	1
SITE: 3	63	63	0
SITE: 3	3	3	0
MPS Info: 1.23921 3.63284 0.729182 
Writing MPS done!
