HHLLHHLLLLHLHHHHHLHLHLHHHLLLLLHLHHLHLHLLLLLHLLLHHHHLLHLHLHLLHHLL
W_LIST: -0.245529 -0.110077 0.315318 -0.118394 -0.105606 -0.302125 -0.0753946 0.273907 0.263386 0.225757 -0.307728 0.0335046 -0.277123 -0.0688458 -0.185798 -0.163803 -0.305481 -0.0641717 0.245241 -0.320636 -0.0523041 0.160448 -0.149695 0.18396 0.232399 0.0247284 -0.128754 0.254698 -0.184568 -0.283751 0.315619 -0.290935 0.00320542 -0.178898 -0.180833 0.208469 0.225368 -0.089994 0.315087 -0.271852 0.230083 -0.175377 -0.0999528 0.166356 0.203977 -0.309426 -0.0805578 0.137936 -0.222391 -0.144008 -0.25749 -0.23747 0.270783 0.217461 0.32172 0.043496 0.291093 0.308774 -0.0297799 -0.0799788 -0.316209 -0.167782 -0.0738386 0.0619792 
st	op	ed	phy
SITE: 5	7	8	1
SITE: 6	9	10	1
SITE: 6	10	11	1
SITE: 5	6	11	0
SITE: 3	5	8	0
SITE: 3	8	11	0
SITE: 3	4	12	0
SITE: 2	3	12	0
SITE: 1	2	12	1
SITE: 0	1	12	1
SITE: 0	12	13	1
SITE: 0	0	14	1
SITE: 11	14	15	1
SITE: 11	15	16	1
SITE: 11	16	17	1
SITE: 11	17	18	0
SITE: 11	18	19	0
SITE: 11	11	20	0
SITE: 19	21	22	1
SITE: 13	19	22	0
SITE: 13	22	23	1
SITE: 13	20	24	0
SITE: 13	24	25	0
SITE: 13	25	26	1
SITE: 13	23	27	1
SITE: 13	27	28	1
SITE: 13	28	29	0
SITE: 13	29	30	0
SITE: 13	30	31	0
SITE: 13	31	32	1
SITE: 13	32	33	1
SITE: 13	33	34	1
SITE: 13	34	35	0
SITE: 26	36	37	1
SITE: 13	35	37	0
SITE: 13	37	38	1
SITE: 26	38	40	0
SITE: 13	39	40	1
SITE: 13	40	41	0
SITE: 26	41	43	0
SITE: 13	42	43	1
SITE: 13	43	44	1
SITE: 26	44	46	1
SITE: 13	45	46	0
SITE: 13	46	47	1
SITE: 13	47	48	1
SITE: 26	48	50	1
SITE: 13	49	50	1
SITE: 26	51	52	0
SITE: 13	50	52	1
SITE: 13	52	53	1
SITE: 13	53	54	1
SITE: 13	54	55	1
SITE: 13	55	56	1
SITE: 13	56	57	0
SITE: 13	57	58	0
SITE: 13	58	59	1
SITE: 13	59	60	0
SITE: 13	13	61	1
SITE: 60	62	63	0
SITE: 26	63	63	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 60	60	60	0
WARN: Unitary gate is identity
SITE: 26	26	26	1
MPS Info: 1.7462 2.92578 1.36799 
Writing MPS done!
