HLLLHHLHLHLLHLLHLLLLLHHLLLHHHLHHLLLLHHHHHLHHLLLLHHLLLLHLLHLLHLLL
W_LIST: 0.600104 0.231154 -0.0629073 -0.251229 0.305226 0.0226273 0.0572985 -0.382874 -0.446772 0.135641 -0.585863 -0.0743418 0.243312 -0.166021 0.648891 0.222827 -0.620246 0.50581 -0.165542 0.167853 -0.109958 0.181277 0.390694 -0.567171 -0.526235 0.480903 0.651267 0.221214 -0.321865 -0.478651 -0.385685 0.583983 0.486707 -0.635162 -0.259453 -0.479943 -0.150229 0.159503 0.224895 0.374232 -0.501979 0.340152 0.321677 0.253691 -0.65442 0.222417 0.0882255 0.633266 -0.435932 -0.492006 -0.391745 0.36998 0.556352 -0.495362 0.603759 -0.320985 -0.463252 -0.38819 -0.256972 0.116059 0.513902 0.631365 -0.457575 0.225144 
st	op	ed	phy
SITE: 30	31	33	0
SITE: 30	33	34	0
SITE: 30	32	35	1
SITE: 29	30	35	0
SITE: 29	35	36	0
SITE: 28	34	36	1
SITE: 28	36	37	0
SITE: 28	29	38	1
SITE: 27	28	38	1
SITE: 26	27	38	1
SITE: 24	25	37	1
SITE: 24	26	38	0
SITE: 23	24	38	0
SITE: 22	23	38	0
SITE: 21	22	38	0
SITE: 20	21	38	0
SITE: 19	20	38	0
SITE: 18	19	38	1
SITE: 17	18	38	0
SITE: 16	17	38	1
SITE: 15	16	38	0
SITE: 14	15	38	0
SITE: 13	14	38	1
SITE: 12	13	38	0
SITE: 11	12	38	0
SITE: 10	11	38	1
SITE: 9	10	38	0
SITE: 8	9	38	0
SITE: 7	8	38	1
SITE: 6	7	38	1
SITE: 5	6	38	0
SITE: 4	5	38	0
SITE: 3	4	38	0
SITE: 2	3	38	1
SITE: 1	2	38	0
SITE: 0	0	38	0
SITE: 1	38	39	0
SITE: 1	39	40	0
SITE: 1	1	41	1
SITE: 37	41	42	1
SITE: 40	43	44	0
SITE: 37	40	44	1
SITE: 37	37	45	0
SITE: 42	44	46	0
SITE: 42	45	47	1
SITE: 42	47	48	1
SITE: 42	48	49	1
SITE: 46	50	51	0
SITE: 42	46	51	0
SITE: 42	51	52	1
SITE: 42	49	53	1
SITE: 42	53	54	0
SITE: 42	54	55	0
SITE: 42	52	56	1
SITE: 42	42	57	0
SITE: 55	56	58	0
SITE: 55	55	59	1
SITE: 58	60	61	0
SITE: 58	61	62	1
SITE: 57	59	62	1
SITE: 57	62	63	0
WARN: Unitary gate is identity
SITE: 58	58	58	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 57	57	57	0
MPS Info: -5.67788 2.83496 1.04329 
Writing MPS done!
