HHLLLHLLHLHLLHLLHHLHHHHLLLHLLLLHLLHLLHHLLHLLLLHLLLHHHHHHHLLLHLHL
W_LIST: 0.588477 0.492449 -0.0778694 -0.430314 -0.0580134 -0.653525 0.567717 0.274074 0.111604 -0.0693879 -0.449708 0.326153 0.183564 -0.0857549 -0.482488 0.423267 0.50606 -0.410957 -0.506809 -0.144669 0.565199 -0.303135 -0.0245437 -0.117748 0.301693 0.138472 0.496407 -0.502269 -0.455797 -0.510398 -0.1444 -0.519267 0.445867 0.150707 0.330945 0.0812234 -0.647495 0.517611 0.0531846 -0.0265858 -0.195899 0.142587 -0.276139 0.0375837 -0.0643597 -0.621179 0.481759 -0.379348 -0.24101 -0.134034 0.579088 0.616043 0.0744598 -0.49956 0.0561873 0.394951 -0.361179 0.4814 0.0823626 -0.445987 -0.534005 -0.568269 0.420469 0.378452 
st	op	ed	phy
SITE: 35	36	38	0
SITE: 34	37	38	0
SITE: 35	38	40	0
SITE: 34	35	40	1
SITE: 34	39	41	1
SITE: 33	40	41	0
SITE: 34	42	43	0
SITE: 33	41	43	0
SITE: 33	43	44	1
SITE: 33	34	45	1
SITE: 33	45	46	0
SITE: 33	46	47	0
SITE: 32	44	47	1
SITE: 31	32	47	1
SITE: 30	31	47	1
SITE: 30	33	48	0
SITE: 29	47	48	1
SITE: 29	48	49	0
SITE: 29	49	50	0
SITE: 29	50	51	0
SITE: 29	51	52	0
SITE: 29	52	53	0
SITE: 29	53	54	1
SITE: 29	54	55	1
SITE: 29	55	56	0
SITE: 29	56	57	1
SITE: 29	57	58	1
SITE: 29	58	59	0
SITE: 29	59	60	1
SITE: 30	61	62	0
SITE: 29	60	62	1
SITE: 29	62	63	0
SITE: 28	29	63	0
SITE: 27	30	63	1
SITE: 26	27	63	0
SITE: 25	26	63	0
SITE: 24	25	63	1
SITE: 23	24	63	0
SITE: 22	23	63	1
SITE: 21	28	63	1
SITE: 20	21	63	1
SITE: 19	20	63	0
SITE: 18	22	63	1
SITE: 17	18	63	0
SITE: 16	19	63	0
SITE: 15	16	63	0
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	13	63	0
SITE: 11	17	63	1
SITE: 10	11	63	1
SITE: 9	10	63	1
SITE: 8	12	63	0
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 3	9	63	0
SITE: 2	3	63	0
SITE: 1	4	63	1
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
MPS Info: -1.13805 3.57959 0.737706 
Writing MPS done!
