HLHLHHLLHHHLLHLLHHLLHHHLHLLHLHHLLLHHHHLHLLHLLHHLLLLHHHLLLLHLLLLL
W_LIST: -0.835843 1.02654 -0.923309 0.419201 0.114143 -0.752073 0.443028 -0.930914 -0.0578599 0.235378 0.513219 0.229982 0.12071 -0.25844 -0.547634 -0.143244 -0.338277 1.08873 -0.344277 0.824236 -0.207208 -1.03289 0.706477 -0.403804 -1.05767 -1.07681 -0.242688 -0.553245 -0.775616 0.570046 -0.704873 -0.182346 -0.309705 -0.534703 0.975864 -1.21735 -0.461354 -0.590745 -1.11787 0.0610948 0.686929 -0.284248 1.02014 -0.163122 0.649037 -0.0388427 0.394508 0.315858 0.871083 0.443295 -1.12054 1.13538 0.19474 -1.15868 1.32328 -0.437319 0.102096 -0.739976 0.89925 1.26559 -0.271087 0.447617 -0.0894282 1.06849 
st	op	ed	phy
SITE: 52	54	55	1
SITE: 50	51	53	0
SITE: 50	53	55	1
SITE: 50	55	56	0
SITE: 50	56	57	1
SITE: 50	57	58	0
SITE: 49	50	58	0
SITE: 52	59	60	1
SITE: 49	58	60	0
SITE: 49	60	61	0
SITE: 49	61	62	1
SITE: 49	62	63	0
SITE: 48	49	63	1
SITE: 33	35	36	1
SITE: 32	34	36	0
SITE: 47	48	63	0
SITE: 46	47	63	1
SITE: 45	46	63	0
SITE: 44	45	63	1
SITE: 43	44	63	1
SITE: 42	43	63	0
SITE: 41	42	63	0
SITE: 20	21	23	1
SITE: 19	22	23	0
SITE: 19	20	24	1
SITE: 18	19	24	1
SITE: 16	17	23	0
SITE: 16	18	24	0
SITE: 15	16	24	0
SITE: 14	15	24	1
SITE: 13	14	24	0
SITE: 40	52	63	0
SITE: 13	24	25	1
SITE: 13	25	26	0
SITE: 13	23	27	0
SITE: 39	40	63	1
SITE: 38	41	63	0
SITE: 37	38	63	0
SITE: 33	36	39	1
SITE: 33	39	63	0
SITE: 32	33	63	1
SITE: 31	32	63	0
SITE: 30	31	63	1
SITE: 29	30	63	1
SITE: 28	29	63	0
SITE: 27	28	63	0
SITE: 26	27	63	1
SITE: 13	26	63	1
SITE: 12	13	63	1
SITE: 11	12	63	1
SITE: 10	11	63	0
SITE: 9	10	63	0
SITE: 8	9	63	0
SITE: 7	8	63	0
SITE: 6	7	63	0
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 2	3	37	1
SITE: 2	4	63	1
SITE: 1	2	63	1
SITE: 0	63	63	1
SITE: 0	0	37	1
SITE: 1	1	37	1
SITE: 37	37	37	1
MPS Info: -2.86259 2.81343 0.674402 
Writing MPS done!
