LHHLHLHLLLLLHLHLLHLHLLHLLHLLHHHHHHHLLLHHLHLLHHHHHLLLLHHLHHLHHHLL
W_LIST: 1.16244 -1.14109 -0.187069 -1.22803 -0.848887 -0.0195019 -0.487394 -0.783848 -1.30989 -0.552992 -0.631859 -1.1957 0.249507 -0.0110617 -0.592187 1.25686 0.629466 -0.0155653 0.951 -0.921308 -0.160495 1.07297 -0.886227 0.668373 -0.383643 -0.411011 0.688272 0.189923 -1.18839 -1.09251 0.195237 -0.609619 0.816192 -0.772658 -0.803354 1.29451 0.353135 -0.895295 -0.238847 -0.861283 0.222033 -0.11079 0.898848 -0.359753 1.05937 -0.291742 -0.896153 -0.145012 -0.0928741 0.451267 0.463325 -0.922727 -0.821038 -1.01515 -0.990214 -0.421395 -0.522138 0.0624512 0.849784 0.62866 -0.527791 -0.902592 -0.0433019 1.07158 
st	op	ed	phy
SITE: 32	34	35	1
SITE: 31	33	35	1
SITE: 31	35	36	1
SITE: 31	32	37	0
SITE: 30	31	37	1
SITE: 29	30	37	0
SITE: 28	29	37	1
SITE: 27	28	37	1
SITE: 26	27	37	0
SITE: 24	26	36	1
SITE: 24	25	37	1
SITE: 23	24	37	0
SITE: 22	23	37	1
SITE: 21	22	37	1
SITE: 20	21	37	1
SITE: 18	19	36	1
SITE: 18	20	37	0
SITE: 17	18	37	1
SITE: 16	17	37	1
SITE: 14	15	36	1
SITE: 14	16	37	0
SITE: 12	14	36	1
SITE: 12	13	37	0
SITE: 11	12	37	0
SITE: 10	11	37	0
SITE: 9	10	37	1
SITE: 8	9	37	0
SITE: 7	8	37	0
SITE: 6	7	37	1
SITE: 5	6	37	1
SITE: 4	36	37	0
SITE: 4	37	38	0
SITE: 4	38	39	0
SITE: 4	39	40	1
SITE: 4	40	41	1
SITE: 4	41	42	1
SITE: 4	42	43	1
SITE: 4	43	44	0
SITE: 4	44	45	0
SITE: 4	45	46	0
SITE: 4	46	47	1
SITE: 3	4	47	1
SITE: 2	3	47	0
SITE: 0	1	5	1
SITE: 0	5	47	0
SITE: 0	0	48	1
SITE: 2	47	49	1
SITE: 2	49	50	1
SITE: 2	48	51	1
SITE: 2	51	52	0
SITE: 2	50	53	1
SITE: 2	53	54	1
SITE: 2	54	55	1
SITE: 2	55	56	0
SITE: 2	52	57	0
SITE: 2	56	58	0
SITE: 2	58	59	1
SITE: 2	59	60	0
SITE: 2	60	61	1
SITE: 57	61	63	1
SITE: 2	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 57	57	57	1
WARN: Unitary gate is identity
SITE: 2	2	2	1
MPS Info: 0.571647 2.02574 0.534764 
Writing MPS done!
