LLHLHLLHLLHLLHLLLHLLHLLLLHLHLHLLLLLLLLHLHHLLLHHHHHLHHHLHHHLLLLLL
W_LIST: -0.379937 1.49455 0.704859 -1.40919 1.58435 -0.733491 -0.50176 -0.458048 1.48319 -0.684717 -0.461218 0.94065 -1.40449 -0.856954 -1.35342 0.244381 1.06265 0.0412982 0.475309 1.35179 1.30047 -0.6029 -1.04074 -1.5432 1.56541 0.154658 -1.42013 -1.14668 -0.0763764 0.727558 -0.142651 -1.47536 -1.28641 0.740505 -0.173907 -0.177867 1.36779 -0.973278 0.919729 0.791858 0.967796 -0.601788 1.15219 1.62578 -0.970167 0.880912 0.215873 0.495958 -0.405819 -1.63471 0.926099 0.755335 0.521966 0.925304 -0.756906 -1.60176 -1.33332 -1.63545 -0.941541 -1.51372 1.36541 0.53849 0.682586 -0.0776706 
st	op	ed	phy
SITE: 2	4	5	0
SITE: 23	24	26	1
SITE: 1	3	5	0
SITE: 0	1	5	1
SITE: 47	49	50	1
SITE: 41	43	44	1
SITE: 41	44	45	0
SITE: 40	41	45	1
SITE: 40	45	46	0
SITE: 42	47	48	0
SITE: 42	46	50	0
SITE: 40	48	50	1
SITE: 40	42	51	1
SITE: 35	36	38	1
SITE: 8	9	11	0
SITE: 7	8	11	1
SITE: 7	11	12	1
SITE: 7	12	13	0
SITE: 6	7	13	1
SITE: 2	6	10	0
SITE: 2	10	13	1
SITE: 0	0	13	0
SITE: 2	2	14	0
SITE: 5	14	15	0
SITE: 35	37	39	0
SITE: 34	38	39	0
SITE: 35	39	50	1
SITE: 35	40	51	0
SITE: 34	35	51	0
SITE: 32	33	50	1
SITE: 32	50	51	1
SITE: 32	51	52	0
SITE: 34	53	54	0
SITE: 32	52	54	0
SITE: 32	54	55	0
SITE: 31	32	55	0
SITE: 30	31	55	0
SITE: 29	30	55	1
SITE: 28	29	55	0
SITE: 27	28	55	1
SITE: 25	27	34	1
SITE: 25	26	55	0
SITE: 23	25	55	0
SITE: 22	23	55	0
SITE: 20	21	34	0
SITE: 20	22	55	0
SITE: 19	20	55	0
SITE: 18	19	55	1
SITE: 17	18	55	1
SITE: 16	17	55	1
SITE: 13	15	34	1
SITE: 5	5	34	1
SITE: 13	13	55	0
SITE: 16	55	56	1
SITE: 16	56	57	1
SITE: 16	57	58	1
SITE: 34	59	60	0
SITE: 16	58	60	0
SITE: 16	60	61	1
SITE: 16	61	62	0
SITE: 16	62	63	1
SITE: 16	63	63	0
SITE: 16	16	34	0
SITE: 34	34	34	1
MPS Info: -9.03034 1.68185 0.319696 
Writing MPS done!
