LLLHHHLLLHLLLHHLHHHHLLLHHHLHLLLHLHLLLHLHLLLLLLHHLHLLHHHHHHHHHLHH
W_LIST: -3.79687 5.86733 0.290005 -0.655504 -5.52136 -8.40871 6.82886 -7.55223 -5.72817 -5.26645 8.1636 -2.91113 0.42339 -2.87315 -3.95005 3.65941 -6.18157 2.33743 2.54199 2.75946 8.26643 -5.68291 -8.70054 -7.06686 9.5137 -0.59936 4.67543 3.0464 -4.27991 -9.46375 1.31633 -9.76474 -6.5613 6.87425 4.02611 -8.59614 3.46919 6.70323 -1.70966 3.92694 -3.08739 7.2107 -1.87381 9.51274 -6.66261 -9.3413 7.81833 -5.89253 -9.8266 -6.69693 -4.37952 -3.72607 -4.71707 0.748518 -1.35316 -3.34798 3.11439 -8.58037 -3.05276 1.91018 8.9268 -1.55848 9.1542 -1.97781 
st	op	ed	phy
SITE: 41	43	44	1
SITE: 42	45	46	0
SITE: 41	44	46	0
SITE: 41	46	47	0
SITE: 40	41	47	1
SITE: 30	31	33	1
SITE: 29	32	33	0
SITE: 30	33	35	0
SITE: 29	34	35	1
SITE: 29	35	36	0
SITE: 30	37	38	0
SITE: 29	36	38	1
SITE: 30	39	40	0
SITE: 29	30	40	1
SITE: 38	40	47	0
SITE: 29	42	47	0
SITE: 27	29	38	0
SITE: 27	28	47	0
SITE: 14	16	17	1
SITE: 23	24	26	0
SITE: 25	26	38	1
SITE: 25	27	47	0
SITE: 23	38	47	0
SITE: 23	47	48	1
SITE: 59	60	62	0
SITE: 59	62	63	0
SITE: 58	59	63	0
SITE: 56	57	61	1
SITE: 56	58	63	1
SITE: 55	56	63	0
SITE: 3	5	6	1
SITE: 3	6	7	1
SITE: 23	48	49	0
SITE: 9	10	12	1
SITE: 9	11	13	0
SITE: 12	14	15	1
SITE: 12	13	17	1
SITE: 9	15	17	1
SITE: 19	20	22	1
SITE: 3	7	8	0
SITE: 4	9	12	1
SITE: 3	4	12	1
SITE: 3	8	17	0
SITE: 1	3	12	1
SITE: 1	12	17	1
SITE: 0	1	17	1
SITE: 22	23	49	1
SITE: 19	22	25	0
SITE: 19	21	49	0
SITE: 19	49	50	1
SITE: 53	55	61	1
SITE: 53	54	63	1
SITE: 52	61	63	0
SITE: 19	50	51	0
SITE: 25	52	53	1
SITE: 25	51	63	0
SITE: 19	25	63	1
SITE: 0	0	18	0
SITE: 17	18	53	0
SITE: 2	19	53	0
SITE: 2	17	63	0
SITE: 2	63	63	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 53	53	53	1
MPS Info: -7.92834 0.125519 0.0728406 
Writing MPS done!
