HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 7.93675 -7.55166 -4.45588 9.45389 0.566233 -3.15778 -4.74756 9.49843 1.64717 7.12652 -2.06059 -1.84029 -5.61872 -2.65854 8.31899 -0.510536 3.88877 -2.46676 7.51186 6.62972 -1.69304 -4.62519 -3.92845 0.017161 7.02153 -3.86789 7.79078 -4.7704 -4.63801 -0.136871 9.0203 1.40304 9.80009 8.9755 3.25178 8.19842 8.02196 4.13132 1.36063 -3.02711 -5.79841 1.97657 -5.82519 -9.88862 -8.61432 -5.71455 -4.07062 -8.60005 0.106346 4.84845 -5.31312 9.87302 -4.82908 7.79612 8.94745 -0.257241 1.03437 9.03885 8.44278 9.81915 0.242559 1.11629 -8.49809 -2.74436 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	3	4	0
SITE: 47	49	50	0
SITE: 47	50	51	1
SITE: 47	51	52	0
SITE: 47	52	53	0
SITE: 7	9	10	0
SITE: 6	7	10	1
SITE: 24	26	27	1
SITE: 23	24	27	0
SITE: 14	16	17	1
SITE: 13	14	17	1
SITE: 13	17	18	0
SITE: 15	18	20	1
SITE: 13	19	20	1
SITE: 46	47	53	0
SITE: 22	25	27	0
SITE: 1	1	5	1
SITE: 4	6	8	0
SITE: 2	2	8	1
SITE: 4	5	10	1
SITE: 29	30	32	1
SITE: 28	31	32	0
SITE: 29	32	34	0
SITE: 28	33	34	1
SITE: 28	34	35	1
SITE: 38	40	41	0
SITE: 38	41	42	0
SITE: 38	42	43	1
SITE: 11	12	15	0
SITE: 11	13	20	1
SITE: 8	10	15	0
SITE: 4	8	15	0
SITE: 4	15	20	1
SITE: 23	27	29	0
SITE: 23	28	35	0
SITE: 22	23	35	0
SITE: 48	54	55	0
SITE: 46	53	55	1
SITE: 48	56	57	0
SITE: 46	48	57	0
SITE: 44	45	55	1
SITE: 44	46	57	0
SITE: 39	43	55	0
SITE: 39	44	57	1
SITE: 38	39	57	0
SITE: 36	37	55	1
SITE: 36	38	57	0
SITE: 29	35	55	0
SITE: 29	36	57	1
SITE: 22	55	57	1
SITE: 4	20	21	1
SITE: 11	21	29	1
SITE: 11	22	57	1
SITE: 4	4	57	1
SITE: 11	57	58	0
SITE: 29	59	60	1
SITE: 11	58	60	1
SITE: 29	61	62	1
SITE: 11	60	62	0
SITE: 11	62	63	0
SITE: 11	63	63	0
SITE: 11	11	29	0
SITE: 29	29	29	1
MPS Info: -18.5854 0.174236 0.0115684 
Writing MPS done!
