LHHHHLHHHHHLHHLHHHLLLHLLHLLLHLLLLHLHLLLLLHHLHLLHHHLHLLLLHHHHLHLH
W_LIST: -0.492236 1.17532 1.04217 -1.34573 -1.15384 1.35748 2.15379 1.69785 0.110596 -0.237263 -1.12804 -0.0935572 -1.76044 -1.4862 2.09443 -0.364597 2.17534 -1.36557 1.87192 -1.65931 -0.558149 0.863884 0.00512239 0.90735 -0.725599 1.42597 -1.44661 0.944616 0.365617 1.13329 -1.05204 1.82397 -1.66145 -1.73497 -2.32838 -2.23074 -0.984655 2.02967 1.89713 -2.13353 0.277855 -0.147212 -0.932298 -1.6151 1.21517 -0.445391 -1.08629 -0.389034 -1.25775 1.10176 -2.12745 0.191523 -2.22614 1.31359 0.87069 -0.115731 -2.23182 -0.705459 2.14049 -0.14049 0.955945 0.330904 -2.14167 -0.650246 
st	op	ed	phy
SITE: 13	14	16	1
SITE: 13	16	17	0
SITE: 13	17	18	1
SITE: 13	18	19	1
SITE: 13	19	20	0
SITE: 50	52	53	0
SITE: 49	50	53	0
SITE: 13	15	21	1
SITE: 48	49	53	0
SITE: 48	53	54	1
SITE: 36	37	39	1
SITE: 36	39	40	0
SITE: 36	38	41	1
SITE: 35	36	41	0
SITE: 47	51	54	0
SITE: 48	54	56	1
SITE: 47	48	56	1
SITE: 55	56	58	1
SITE: 47	55	58	0
SITE: 47	58	59	0
SITE: 46	57	59	1
SITE: 46	47	60	1
SITE: 45	46	60	0
SITE: 43	44	59	0
SITE: 43	45	60	1
SITE: 35	40	42	1
SITE: 2	3	5	1
SITE: 0	1	4	0
SITE: 0	4	5	1
SITE: 0	2	6	0
SITE: 24	25	27	1
SITE: 22	24	26	1
SITE: 22	26	27	0
SITE: 22	27	28	1
SITE: 23	29	30	1
SITE: 22	28	30	1
SITE: 22	30	31	0
SITE: 22	31	32	1
SITE: 21	23	32	1
SITE: 20	21	32	0
SITE: 13	22	32	0
SITE: 13	32	33	0
SITE: 13	33	34	1
SITE: 20	34	41	0
SITE: 13	35	41	1
SITE: 13	41	42	1
SITE: 20	42	59	1
SITE: 13	43	59	0
SITE: 13	20	60	1
SITE: 11	13	59	1
SITE: 11	12	60	1
SITE: 10	11	60	0
SITE: 9	10	60	1
SITE: 8	9	60	1
SITE: 7	8	60	1
SITE: 6	7	60	0
SITE: 0	6	59	0
SITE: 0	5	60	1
SITE: 60	62	63	0
SITE: 0	60	61	1
SITE: 0	59	63	1
SITE: 0	61	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
MPS Info: -4.87667 0.967084 0.0611547 
Writing MPS done!
